,cluster
987,1
988,0
989,2
990,2
992,0
993,3
994,2
995,1
996,0
997,4
998,0
999,0
1000,1
1001,0
1002,0
1003,4
1004,3
1005,4
1006,2
1007,4
1008,0
1009,1
1010,0
1011,2
1012,4
1013,3
1014,1
1016,1
1017,4
1018,0
1019,3
1020,3
1022,3
1023,2
1024,4
1025,3
1026,0
1028,1
1029,0
1030,3
1031,1
1033,4
1034,3
1035,0
1036,1
1037,0
1038,0
1039,0
1040,1
1041,0
1042,2
1043,0
1044,0
1045,4
1046,0
1047,4
1049,4
1050,2
1051,4
1052,0
1053,0
1054,2
1055,0
1056,3
1057,0
1058,0
1059,4
1060,1
1061,0
1062,3
1063,0
1064,0
1065,1
1066,3
1068,0
1069,4
1071,0
1072,2
1073,3
1074,0
1075,3
1076,0
1077,2
1078,3
1079,0
1080,4
1081,2
1082,2
1084,0
1085,2
1086,3
1087,1
1088,4
1090,0
1092,0
1093,4
1094,4
1096,3
1098,3
1100,3
1101,4
1103,0
1104,2
1106,1
1109,4
1111,2
1112,3
1113,2
1114,3
1115,0
1116,2
1118,0
1120,2
1121,4
1122,4
1123,1
1124,3
1126,4
1128,2
1130,0
1131,0
1132,3
1134,0
1136,0
1137,2
1138,1
1139,4
1140,0
1143,1
1145,0
1146,4
1147,2
1148,0
1149,4
1150,0
1151,0
1152,0
1153,4
1154,3
1155,0
1156,4
1157,3
1158,0
1161,0
1162,3
1163,0
1164,3
1165,1
1166,1
1167,4
1168,4
1169,1
1170,0
1172,2
1173,4
1174,0
1176,0
1177,3
1178,3
1179,2
1180,0
1182,0
1183,1
1184,4
1185,1
1186,4
1187,3
1189,0
1190,2
1191,1
1192,1
1193,2
1194,0
1196,2
1197,0
1198,4
1199,0
1200,1
1201,0
1202,0
1203,0
1205,0
1206,2
1208,0
1209,4
1210,0
1211,4
1212,0
1214,3
1215,3
1216,2
1219,2
1220,4
1221,4
1222,0
1223,3
1224,0
1225,0
1226,0
1227,2
1228,3
1230,2
1231,4
1232,3
1233,3
1235,2
1236,1
1237,2
1238,0
1239,4
1240,0
1241,3
1245,1
1246,4
1248,4
1249,3
1250,3
1251,0
1253,0
1254,0
1255,2
1256,1
1258,0
1259,1
1260,2
1262,0
1263,4
1264,2
1265,2
1266,4
1267,3
1268,3
1269,1
1270,1
1271,1
1272,0
1273,2
1274,4
1275,3
1276,3
1278,2
1279,0
1280,0
1281,2
1282,0
1284,2
1285,4
1286,2
1287,1
1288,4
1289,0
1291,3
1292,4
1293,4
1296,2
1297,2
1298,0
1299,2
1300,3
1301,3
1304,3
1305,4
1306,0
1307,4
1308,4
1309,0
1310,3
1311,3
1312,0
1313,3
1315,3
1316,0
1317,1
1318,3
1319,3
1320,2
1321,1
1323,2
1324,2
1325,3
1326,3
1327,1
1328,3
1329,0
1330,1
1331,3
1332,0
1333,0
1337,1
1338,1
1339,3
1340,1
1341,3
1343,0
1345,1
1346,4
1347,0
1348,2
1349,0
1350,2
1352,0
1354,1
1355,3
1356,0
1357,1
1358,1
1359,2
1361,1
1362,4
1363,3
1364,2
1365,0
1366,1
1367,3
1368,2
1369,4
1372,1
1374,0
1375,0
1376,4
1377,0
1378,0
1379,3
1380,0
1382,2
1384,0
1385,2
1386,2
1389,2
1390,4
1392,4
1393,3
1394,1
1395,2
1396,0
1397,0
1398,2
1402,1
1403,4
1404,4
1405,2
1406,0
1407,2
1409,1
1410,0
1411,0
1413,2
1415,0
1417,1
1418,0
1419,1
1421,0
1422,0
1423,0
1424,0
1425,0
1426,0
1428,3
1429,1
1430,1
1431,3
1433,4
1434,3
1436,3
1437,2
1438,0
1439,3
1440,0
1442,3
1443,0
1444,0
1445,3
1446,3
1447,4
1448,2
1449,2
1453,4
1454,0
1455,2
1456,0
1457,0
1458,3
1459,1
1461,0
1462,0
1464,4
1467,0
1468,2
1469,1
1470,4
1471,1
1472,0
1473,4
1474,3
1475,3
1478,1
1479,3
1481,4
1484,2
1485,3
1487,1
1488,0
1489,0
1490,3
1491,4
1493,0
1494,1
1495,2
1496,0
1497,2
1498,0
1499,0
1501,0
1503,1
1504,3
1505,0
1506,0
1509,2
1512,0
1513,0
1515,0
1516,2
1517,0
1518,2
1519,3
1520,2
1521,4
1523,2
1524,0
1525,2
1526,1
1528,0
1529,2
1530,2
1531,1
1533,1
1536,2
1537,1
1538,1
1539,2
1540,2
1541,0
1542,4
1543,0
1544,0
1545,0
1547,0
1548,2
1550,1
1552,3
1554,1
1557,0
1558,4
1560,3
1562,2
1563,1
1564,0
1565,0
1566,3
1568,4
1569,2
1570,2
1571,0
1572,0
1573,0
1577,0
1578,4
1579,0
1580,0
1581,0
1582,2
1583,0
1584,0
1585,4
1586,0
1589,2
1590,2
1592,0
1595,0
1598,3
1600,4
1601,0
1602,0
1603,0
1605,2
1606,4
1609,2
1610,3
1611,4
1612,1
1615,4
1616,4
1617,0
1618,3
1619,0
1620,0
1621,0
1622,3
1623,3
1624,0
1625,0
1626,0
1627,2
1629,1
1630,0
1632,0
1633,4
1634,2
1636,4
1638,3
1639,0
1641,0
1642,0
1644,0
1645,2
1647,2
1649,0
1650,0
1651,0
1653,2
1654,0
1657,0
1659,0
1661,4
1662,3
1663,3
1665,0
1667,1
1668,0
1670,3
1671,4
1674,2
1675,3
1676,0
1677,2
1678,3
1680,0
1682,0
1686,0
1687,0
1688,4
1689,0
1690,0
1694,0
1695,3
1696,1
1697,2
1699,4
1700,4
1701,0
1702,0
1703,0
1705,3
1708,0
1710,0
1711,0
1714,0
1715,4
1716,0
1718,3
1720,1
1721,3
1722,4
1723,3
