,cluster
970,15
972,5
973,9
974,14
975,3
976,12
977,3
978,10
979,1
980,3
981,12
982,14
983,4
984,15
985,1
986,2
987,3
988,10
989,12
990,12
992,3
993,10
994,14
995,3
996,10
997,5
998,6
999,3
1000,11
1001,3
1002,14
1003,3
1004,13
1005,3
1006,7
1007,14
1008,2
1009,11
1010,9
1011,-1
1012,10
1013,11
1014,7
1016,13
1017,6
1018,11
1019,6
1020,3
1022,3
1023,-1
1024,3
1025,15
1026,14
1028,9
1029,14
1030,6
1031,14
1033,2
1034,6
1035,3
1036,13
1037,10
1038,5
1039,10
1040,11
1041,10
1042,10
1043,2
1044,3
1045,-1
1046,5
1047,3
1049,-1
1050,-1
1051,6
1052,0
1053,6
1054,12
1055,6
1056,14
1057,-1
1058,1
1059,10
1060,1
1061,8
1062,2
1063,4
1064,6
1065,14
1066,3
1068,6
1069,0
1071,5
1072,6
1073,0
1074,11
1075,3
1076,3
1077,15
1078,10
1079,6
1080,6
1081,-1
1082,9
1084,11
1085,10
1086,3
1087,13
1088,0
1090,2
1092,3
1093,15
1094,15
1096,3
1098,3
1100,13
1101,4
1103,11
1104,11
1106,6
1109,11
1111,14
1112,6
1113,12
1114,2
1115,5
1116,-1
1118,3
1120,15
1121,9
1122,10
1123,11
1124,3
1126,0
1128,15
1130,3
1131,1
1132,4
1134,-1
1136,7
1137,12
1138,9
1139,13
1140,11
1143,2
1145,10
1146,4
1147,12
1148,6
1149,8
1150,6
1151,11
1152,2
1153,-1
1154,3
1155,4
1156,9
1157,0
1158,3
1161,14
1162,3
1163,6
1164,4
1165,14
1166,15
1167,7
1168,3
1169,14
1170,2
1172,12
1173,4
1174,3
1176,11
1177,3
1178,6
1179,15
1180,3
1182,6
1183,13
1184,0
1185,15
1186,3
1187,6
1189,6
1190,11
1191,12
1192,13
1193,5
1194,14
1196,10
1197,6
1198,6
1199,8
1200,15
1201,2
1202,13
1203,2
1205,2
1206,-1
1208,13
1209,13
1210,13
1211,0
1212,7
1214,3
1215,1
1216,2
1219,-1
1220,2
1221,14
1222,3
1223,14
1224,6
1225,3
1226,3
1227,5
1228,1
1230,15
1231,4
1232,3
1233,4
1235,9
1236,15
1237,12
1238,6
1239,10
1240,6
1241,3
1245,15
1246,2
1248,3
1249,6
1250,6
1251,6
1253,2
1254,13
1255,12
1256,10
1258,1
1259,7
1260,12
1262,14
1263,6
1264,12
1265,15
1266,1
1267,6
1268,1
1269,11
1270,-1
1271,15
1272,6
1273,-1
1274,11
1275,3
1276,6
1278,12
1279,14
1280,3
1281,15
1282,1
1284,15
1285,7
1286,12
1287,14
1288,5
1289,0
1291,3
1292,3
1293,3
1296,2
1297,14
1298,6
1299,9
1300,3
1301,-1
1304,6
1305,4
1306,10
1307,5
1308,8
1309,3
1310,6
1311,4
1312,8
1313,1
1315,3
1316,4
1317,10
1318,11
1319,14
1320,12
1321,15
1323,12
1324,15
1325,6
1326,3
1327,11
1328,4
1329,3
1330,6
1331,0
1332,6
1333,8
1337,10
1338,8
1339,11
1340,15
1341,4
1343,3
1345,2
1346,-1
1347,1
1348,-1
1349,3
1350,13
1352,4
1354,-1
1355,4
1356,6
1357,10
1358,5
1359,15
1361,6
1362,5
1363,7
1364,15
1365,4
1366,11
1367,4
1368,12
1369,2
1372,13
1374,5
1375,14
1376,11
1377,2
1378,6
1379,3
1380,6
1382,6
1384,3
1385,15
1386,-1
1389,-1
1390,6
1392,15
1393,3
1394,6
1395,14
1396,6
1397,3
1398,14
1402,10
1403,5
1404,3
1405,14
1406,8
1407,15
1409,6
1410,3
1411,10
1413,12
1415,6
1417,12
1418,3
1419,1
1421,11
1422,10
1423,3
1424,7
1425,9
1426,0
1428,5
1429,10
1430,13
1431,3
1433,3
1434,3
1436,6
1437,1
1438,2
1439,3
1440,2
1442,15
1443,11
1444,10
1445,11
1446,10
1447,6
1448,12
1449,5
1453,2
1454,6
1455,15
1456,10
1457,6
1458,4
1459,7
1461,-1
1462,11
1464,3
1467,-1
1468,10
1469,14
1470,0
1471,15
1472,1
1473,0
1474,14
1475,0
1478,15
1479,6
1481,3
1484,10
1485,6
1487,7
1488,3
1489,3
1490,4
1491,1
1493,-1
1494,15
1495,12
1496,8
1497,14
1498,11
1499,6
1501,5
1503,1
1504,2
1505,3
1506,-1
1509,-1
1512,7
1513,1
1515,2
1516,-1
1517,11
1518,13
1519,0
1520,5
1521,3
1523,15
1524,3
1525,9
1526,14
1528,11
1529,9
1530,15
1531,7
1533,5
1536,2
1537,7
1538,-1
1539,15
1540,12
1541,7
1542,3
1543,-1
1544,2
1545,8
1547,3
1548,12
1550,5
1552,3
1554,1
1557,6
1558,3
1560,6
1562,14
1563,-1
1564,13
1565,1
1566,0
1568,3
1569,7
1570,-1
1571,3
1572,11
1573,2
1577,10
1578,-1
1579,11
1580,3
1581,4
1582,12
1583,10
1584,-1
1585,4
1586,6
1589,5
1590,15
1592,2
1595,11
1598,-1
1600,-1
1601,6
1602,6
1603,5
1605,-1
1606,13
1609,12
1610,14
1611,11
1612,6
1615,0
1616,2
1617,3
1618,8
1619,13
1620,11
1621,3
1622,15
1623,2
1624,6
1625,3
1626,6
1627,15
1629,11
1630,3
1632,15
1633,10
1634,15
1636,11
1638,1
1639,3
1641,-1
1642,1
1644,11
1645,5
1647,-1
1649,6
1650,6
1651,6
1653,-1
1654,6
1657,3
1659,3
1661,11
1662,3
1663,10
1665,3
1667,3
1668,3
1670,3
1671,0
1674,10
1675,11
1676,11
1677,13
1678,3
1680,10
1682,6
1686,11
1687,6
1688,-1
1689,2
1690,-1
1694,3
1695,10
1696,7
1697,15
1699,12
1700,10
1701,14
1702,6
1703,-1
1705,14
1708,4
1710,4
1711,6
1714,1
1715,14
1716,0
1718,3
1720,2
1721,6
1722,11
1723,10
1724,4
1725,5
1729,15
1733,3
1734,3
1735,5
1737,3
1738,5
1739,15
1740,6
1742,12
1743,14
1744,14
1746,3
1751,3
1753,-1
1755,11
1756,13
1762,6
1766,0
1767,0
1768,3
1769,10
1771,4
1774,3
1775,3
1776,5
1777,11
