,cluster
0,0
1,0
2,0
3,0
4,3
5,0
6,3
7,0
8,0
9,3
10,0
11,1
12,0
13,0
14,0
15,3
16,0
17,0
18,3
19,0
20,0
21,0
22,-1
23,0
24,0
25,0
26,1
27,0
28,0
29,0
30,1
31,3
32,1
33,3
34,-1
35,-1
36,0
37,0
38,3
39,-1
40,0
41,0
42,0
43,3
44,0
45,0
46,3
47,3
48,1
49,3
50,0
51,0
52,3
53,0
54,0
55,-1
56,1
57,0
58,3
59,3
60,3
61,-1
62,1
63,0
64,3
65,0
66,0
67,0
68,1
69,3
70,0
71,0
72,0
73,0
74,0
75,0
76,-1
77,3
78,0
79,0
80,3
81,0
82,0
83,-1
84,0
85,0
86,0
87,0
88,0
89,1
90,3
91,1
92,-1
93,0
94,0
95,0
96,0
97,0
98,1
99,0
100,0
101,3
102,0
103,3
104,-1
105,0
106,0
107,1
108,0
109,3
110,0
111,0
112,3
113,-1
114,0
115,0
116,1
117,0
118,0
119,0
120,1
121,0
122,1
123,3
124,0
125,0
126,0
127,3
128,0
129,0
130,3
131,1
132,1
133,0
134,0
135,1
136,3
137,0
138,0
139,0
140,3
141,3
142,0
143,0
144,0
145,3
146,0
147,0
148,0
149,0
150,3
151,-1
152,1
153,0
154,0
155,0
156,3
157,0
158,3
159,-1
160,0
161,0
162,3
163,0
164,0
165,3
166,3
167,0
168,0
169,0
170,0
171,-1
172,1
173,0
174,0
175,0
176,3
177,1
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,1
186,0
187,1
188,0
189,3
190,3
191,0
192,1
193,0
194,0
195,1
196,3
197,0
198,0
199,0
200,3
201,0
202,0
203,3
204,3
205,1
206,0
207,3
208,0
209,0
210,1
211,0
212,0
213,1
214,0
215,0
216,1
217,0
218,1
219,0
220,1
221,3
222,0
223,0
224,0
225,0
226,1
227,3
228,3
229,1
230,1
231,0
232,0
233,3
234,0
235,0
236,0
237,-1
238,0
239,0
240,0
241,3
242,0
243,0
244,3
245,3
246,1
247,0
248,3
249,0
250,0
251,3
252,0
253,3
254,0
255,3
256,3
257,1
258,0
259,0
260,0
261,0
262,1
263,0
264,3
265,0
266,0
267,1
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,-1
276,0
277,1
278,3
279,0
280,3
281,0
282,1
283,0
284,-1
285,0
286,0
287,0
288,0
289,0
290,3
291,0
292,0
293,3
294,1
295,0
296,0
297,0
298,0
299,0
300,0
301,3
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,3
310,0
311,1
312,0
313,0
314,0
315,0
316,1
317,0
318,0
319,0
320,0
321,3
322,0
323,0
324,0
325,3
326,1
327,-1
328,3
329,3
330,0
331,3
332,0
333,0
334,0
335,0
336,1
337,3
338,0
339,0
340,0
341,0
342,1
343,1
344,1
345,0
346,3
347,-1
348,0
349,3
350,0
351,3
352,0
353,3
354,0
355,0
356,3
357,3
358,0
359,0
360,1
361,0
362,0
363,0
364,0
365,3
366,0
367,1
368,0
369,1
370,-1
371,1
372,0
373,0
374,0
375,3
376,1
377,0
378,0
379,3
380,0
381,0
382,0
383,0
384,0
385,0
386,-1
387,0
388,0
389,3
390,1
391,0
392,0
393,3
394,0
395,0
396,0
397,1
398,0
399,0
400,0
401,3
402,3
403,3
404,3
405,0
406,3
407,0
408,0
409,3
410,0
411,0
412,1
413,1
414,1
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,1
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,1
433,0
434,0
435,0
436,1
437,1
438,0
439,3
440,3
441,3
442,0
443,3
444,3
445,0
446,1
447,3
448,3
449,-1
450,1
451,0
452,0
453,1
454,-1
455,1
456,0
457,3
458,0
459,1
460,3
461,0
462,0
463,0
464,0
465,0
466,1
467,1
468,0
469,3
470,0
471,0
472,3
473,0
474,0
475,0
476,0
477,3
478,1
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,1
487,1
488,0
489,3
490,0
491,0
492,3
493,3
494,0
495,0
496,0
497,3
498,3
499,3
500,1
501,0
502,3
503,3
504,0
505,3
506,0
507,0
508,0
509,3
510,0
511,0
512,3
513,0
514,0
515,0
516,3
517,3
518,0
519,1
520,0
521,0
522,3
523,1
524,0
525,3
526,0
