Silhouette Score: -0.1716, Number of Clusters: 5, Skew Threshold: 0.75, Correlation Threshold: 0.5, Hidden Size: 32, Latent Dim: 16, Learning Rate: 0.01, Epochs: 500, HDBSCAN Params: {'min_cluster_size': 20, 'min_samples': 25}
Silhouette Score: -1.0000, Number of Clusters: 3, Skew Threshold: 0.75, Correlation Threshold: 0.5, Hidden Size: 32, Latent Dim: 32, Learning Rate: 0.001, Epochs: 500, HDBSCAN Params: {'min_cluster_size': 5, 'min_samples': 10}
Silhouette Score: -1.0000, Number of Clusters: 4, Skew Threshold: 0.75, Correlation Threshold: 0.5, Hidden Size: 32, Latent Dim: 32, Learning Rate: 0.001, Epochs: 500, HDBSCAN Params: {'min_cluster_size': 5, 'min_samples': 15}
Silhouette Score: -0.1845, Number of Clusters: 5, Skew Threshold: 0.75, Correlation Threshold: 0.5, Hidden Size: 32, Latent Dim: 32, Learning Rate: 0.001, Epochs: 500, HDBSCAN Params: {'min_cluster_size': 5, 'min_samples': 25}
Silhouette Score: -1.0000, Number of Clusters: 2, Skew Threshold: 0.75, Correlation Threshold: 0.5, Hidden Size: 32, Latent Dim: 32, Learning Rate: 0.001, Epochs: 500, HDBSCAN Params: {'min_cluster_size': 10, 'min_samples': 10}
Silhouette Score: -0.1926, Number of Clusters: 9, Skew Threshold: 0.75, Correlation Threshold: 0.5, Hidden Size: 32, Latent Dim: 32, Learning Rate: 0.001, Epochs: 500, HDBSCAN Params: {'min_cluster_size': 10, 'min_samples': 15}
Silhouette Score: -1.0000, Number of Clusters: 2, Skew Threshold: 0.75, Correlation Threshold: 0.5, Hidden Size: 32, Latent Dim: 32, Learning Rate: 0.001, Epochs: 500, HDBSCAN Params: {'min_cluster_size': 10, 'min_samples': 25}
Silhouette Score: -1.0000, Number of Clusters: 4, Skew Threshold: 0.75, Correlation Threshold: 0.5, Hidden Size: 32, Latent Dim: 32, Learning Rate: 0.001, Epochs: 500, HDBSCAN Params: {'min_cluster_size': 15, 'min_samples': 10}
Silhouette Score: -1.0000, Number of Clusters: 4, Skew Threshold: 0.75, Correlation Threshold: 0.5, Hidden Size: 32, Latent Dim: 32, Learning Rate: 0.001, Epochs: 500, HDBSCAN Params: {'min_cluster_size': 15, 'min_samples': 15}
Silhouette Score: -0.1803, Number of Clusters: 5, Skew Threshold: 0.75, Correlation Threshold: 0.5, Hidden Size: 32, Latent Dim: 32, Learning Rate: 0.001, Epochs: 500, HDBSCAN Params: {'min_cluster_size': 15, 'min_samples': 25}
Silhouette Score: -1.0000, Number of Clusters: 2, Skew Threshold: 0.75, Correlation Threshold: 0.5, Hidden Size: 32, Latent Dim: 32, Learning Rate: 0.001, Epochs: 500, HDBSCAN Params: {'min_cluster_size': 20, 'min_samples': 10}
Silhouette Score: -1.0000, Number of Clusters: 2, Skew Threshold: 0.75, Correlation Threshold: 0.5, Hidden Size: 32, Latent Dim: 32, Learning Rate: 0.001, Epochs: 500, HDBSCAN Params: {'min_cluster_size': 20, 'min_samples': 15}
Silhouette Score: -1.0000, Number of Clusters: 2, Skew Threshold: 0.75, Correlation Threshold: 0.5, Hidden Size: 32, Latent Dim: 32, Learning Rate: 0.001, Epochs: 500, HDBSCAN Params: {'min_cluster_size': 20, 'min_samples': 25}
Silhouette Score: -1.0000, Number of Clusters: 3, Skew Threshold: 0.75, Correlation Threshold: 0.5, Hidden Size: 32, Latent Dim: 32, Learning Rate: 0.01, Epochs: 500, HDBSCAN Params: {'min_cluster_size': 5, 'min_samples': 10}
