,0,1,2,3,4,5,6,7,8
3,0.9999809656552071,4.2663476352657256e-42,4.6189136898901033e-07,3.086394235833564e-39,2.0709925338692561e-19,1.5217108121439255e-05,2.946459373874326e-06,4.088859254478128e-07,3.5289885164640836e-16
5,1.165940568329787e-12,2.6585399314209727e-19,4.220151850286307e-10,4.0887778374709125e-61,5.5060026078484674e-12,0.9972994240686037,3.3509084300635026e-07,2.994682012298248e-30,0.002700240411866245
6,0.7962849750484327,1.9885519982197417e-29,0.20148840318494,1.1998625593150965e-38,7.674863106809836e-10,0.0012698358734051624,0.0009567827447301444,8.704548392220116e-13,2.380139747866171e-09
8,5.991679584169293e-11,4.004045754120281e-15,4.826012321972587e-05,2.302476416785758e-32,0.001362801035629858,5.877408048924997e-09,0.9985714890141997,1.9242320544603576e-31,1.7443889621803604e-05
9,6.814981048093129e-12,3.5026166586178784e-19,0.9991057347791682,5.877859200325669e-18,0.0008748126843857458,1.6418968710154257e-12,1.9438524131969443e-05,3.355436433134666e-42,1.4003855124980386e-08
10,0.0005074005187504049,2.0902356497962187e-22,0.9782826347964031,1.0249007899890864e-25,2.176495010847646e-06,0.004963556948903088,0.016232330615841485,1.9139490738116066e-18,1.1900625085943494e-05
11,1.8352005543268172e-09,6.81273627350889e-20,0.9990199423903176,2.5650658333855347e-32,0.0002827108019222214,1.637680468045702e-11,0.0006973385821804828,6.812655591500343e-41,6.374009347505805e-09
12,0.0001003646489733625,9.424949401414908e-20,0.3506648284475332,3.8886603652214284e-41,5.628573076459104e-05,0.00020338594528177724,0.6489562649340492,2.0928556319521379e-22,1.8870293398422332e-05
13,1.3849442638833305e-17,8.457251066244144e-30,4.06959189855528e-07,2.0294166286126444e-26,4.415796279441127e-15,0.9999978903338529,1.5821058706136747e-06,6.125364527796022e-12,1.205949583389738e-07
14,1.1994018029596535e-07,2.8639684681509372e-18,0.9986452735870689,3.2746162652389724e-13,0.00034930745861388757,8.83915400866861e-05,0.0006631873334730493,3.107426918973192e-20,0.00025372014024546474
15,2.432308761049921e-16,2.110947308576032e-46,2.165698727731813e-08,0.9938587303859914,2.0800398861637086e-21,1.8633737628296081e-06,7.905463633727645e-08,0.0061393055286212755,4.675406923490072e-18
16,0.00020648705453554087,1.647444791872899e-21,0.044880916678290854,4.0033699750243793e-41,9.198626246749036e-07,0.000759613204461852,0.9541343514488235,2.2780081010945777e-21,1.7711751262654263e-05
18,2.688691208126825e-21,7.092700054549279e-05,4.8382642533954264e-05,3.121383259566367e-41,0.7909960300009257,3.276229611906192e-11,1.1880678875380138e-07,3.5666316600084175e-59,0.2088845415164426
19,1.8813865331284302e-17,2.016926625781354e-07,0.0006751825053496963,3.7137681661971345e-52,0.3194768776069317,8.620530845566288e-08,1.8605237685616025e-20,1.906813699259472e-43,0.6798476519897505
20,1.0975746611278142e-36,1.6601465740598688e-08,7.06512601019544e-11,2.662618858399925e-56,2.764694922943967e-07,6.305483989940795e-07,8.144579797840942e-12,4.155185295135941e-46,0.9999990763018477
