,cluster_11
987,0
988,4
989,1
990,1
992,0
993,4
994,7
995,3
996,5
997,9
998,4
999,3
1000,6
1001,0
1002,6
1003,8
1004,0
1005,3
1006,7
1007,4
1008,3
1009,6
1010,4
1011,5
1012,2
1013,6
1014,4
1016,7
1017,2
1018,5
1019,2
1020,3
1022,10
1023,7
1024,8
1025,5
1026,5
1028,7
1029,6
1030,8
1031,9
1033,8
1034,8
1035,8
1036,5
1037,4
1038,0
1039,4
1040,6
1041,2
1042,7
1043,3
1044,8
1045,9
1046,9
1047,5
1049,0
1050,1
1051,2
1052,2
1053,4
1054,1
1055,3
1056,4
1057,2
1058,2
1059,3
1060,4
1061,0
1062,0
1063,4
1064,10
1065,4
1066,4
1068,0
1069,0
1071,4
1072,6
1073,0
1074,5
1075,10
1076,8
1077,9
1078,4
1079,0
1080,8
1081,9
1082,7
1084,6
1085,7
1086,3
1087,6
1088,2
1090,3
1092,3
1093,7
1094,7
1096,8
1098,2
1100,5
1101,8
1103,5
1104,6
1106,0
1109,5
1111,1
1112,3
1113,1
1114,6
1115,4
1116,7
1118,10
1120,7
1121,9
1122,4
1123,0
1124,8
1126,4
1128,1
1130,2
1131,0
1132,9
1134,5
1136,8
1137,1
1138,7
1139,0
1140,5
1143,7
1145,4
1146,0
1147,1
1148,2
1149,0
1150,3
1151,6
1152,8
1153,2
1154,2
1155,2
1156,5
1157,2
1158,2
1161,7
1162,10
1163,2
1164,4
1165,7
1166,9
1167,5
1168,8
1169,4
1170,6
1172,9
1173,4
1174,2
1176,0
1177,2
1178,2
1179,7
1180,3
1182,5
1183,5
1184,4
1185,7
1186,10
1187,3
1189,0
1190,7
1191,9
1192,7
1193,9
1194,4
1196,9
1197,6
1198,0
1199,6
1200,6
1201,8
1202,0
1203,6
1205,3
1206,7
1208,5
1209,0
1210,6
1211,2
1212,4
1214,2
1215,3
1216,0
1219,1
1220,3
1221,6
1222,8
1223,9
1224,2
1225,2
1226,10
1227,9
1228,5
1230,7
1231,10
1232,3
1233,2
1235,9
1236,7
1237,1
1238,5
1239,2
1240,0
1241,10
1245,9
1246,8
1248,8
1249,10
1250,2
1251,3
1253,6
1254,6
1255,1
1256,6
1258,5
1259,6
1260,1
1262,0
1263,4
1264,7
1265,7
1266,5
1267,3
1268,6
1269,6
1270,7
1271,9
1272,0
1273,9
1274,6
1275,8
1276,10
1278,1
1279,6
1280,10
1281,1
1282,4
1284,1
1285,6
1286,7
1287,7
1288,4
1289,2
1291,2
1292,2
1293,2
1296,4
1297,7
1298,2
1299,1
1300,10
1301,0
1304,8
1305,5
1306,4
1307,4
1308,7
1309,8
1310,8
1311,4
1312,0
1313,6
1315,2
1316,2
1317,4
1318,6
1319,5
1320,1
1321,9
1323,1
1324,7
1325,2
1326,10
1327,0
1328,8
1329,2
1330,0
1331,2
1332,6
1333,0
1337,6
1338,7
1339,6
1340,9
1341,2
1343,2
1345,6
1346,4
1347,0
1348,1
1349,2
1350,6
1352,4
1354,9
1355,10
1356,5
1357,9
1358,7
1359,7
1361,0
1362,4
1363,4
1364,1
1365,9
1366,5
1367,4
1368,1
1369,6
1372,7
1374,9
1375,6
1376,6
1377,5
1378,6
1379,10
1380,8
1382,5
1384,8
1385,9
1386,7
1389,7
1390,8
1392,5
1393,3
1394,0
1395,9
1396,0
1397,10
1398,7
1402,0
1403,9
1404,8
1405,7
1406,5
1407,1
1409,0
1410,0
1411,9
1413,7
1415,2
1417,7
1418,6
1419,0
1421,8
1422,4
1423,2
1424,6
1425,6
1426,2
1428,9
1429,4
1430,6
1431,2
1433,6
1434,0
1436,2
1437,6
1438,5
1439,2
1440,8
1442,9
1443,5
1444,6
1445,3
1446,4
1447,0
1448,1
1449,7
1453,8
1454,4
1455,1
1456,4
1457,8
1458,0
1459,5
1461,4
1462,6
1464,2
1467,0
1468,0
1469,7
