,cluster_11
5195,10
5196,4
5197,1
5200,4
5201,3
5205,7
5206,8
5207,10
5208,6
5210,9
5211,3
5212,6
5213,2
5214,4
5216,7
5217,1
5220,2
5221,7
5223,0
5224,7
5227,4
5228,2
5229,4
5230,5
5232,3
5234,4
5235,2
5236,0
5237,9
5239,0
5241,8
5242,9
5243,7
5244,4
5245,9
5247,3
5249,2
5252,1
5254,5
5256,1
5257,6
5258,9
5259,9
5260,5
5262,7
5264,7
5265,5
5266,9
5267,7
5268,6
5269,8
5270,9
5271,9
5275,4
5276,7
5277,3
5278,0
5279,3
5280,2
5281,9
5282,10
5283,6
5284,1
5285,2
5286,1
5287,5
5288,5
5289,5
5293,0
5294,4
5295,0
5296,3
5300,4
5301,0
5302,10
5304,10
5306,4
5307,10
5308,4
5309,3
5310,4
5311,1
5312,4
5314,6
5315,10
5317,1
5319,1
5323,7
5327,4
5328,8
5329,6
5330,7
5331,6
5333,1
5334,9
5336,2
5337,6
5338,2
5339,3
5340,9
5341,0
5343,6
5344,4
5345,0
5346,8
5348,7
5350,5
5352,1
5354,6
5357,4
5358,3
5359,2
5360,4
5361,2
5363,7
5364,4
5365,4
5367,0
5369,6
5372,3
5374,3
5376,10
5377,7
5378,2
5381,9
5383,7
5386,6
5388,5
5389,8
5390,6
5392,2
5393,0
5395,7
5396,2
5398,10
5399,6
5400,3
5401,8
5402,3
5403,8
5405,0
5406,5
5407,8
5408,2
5410,4
5412,7
5413,2
5415,10
5417,7
5419,6
5420,0
5425,5
5426,3
5427,4
5428,8
5429,1
5431,9
5432,7
5433,1
5435,0
5436,9
5438,7
5439,6
5440,4
5442,6
5443,8
5444,0
5447,7
5448,7
5449,9
5450,0
5452,3
5455,0
5459,7
5465,2
5473,5
5477,10
5478,9
5482,2
5483,8
5484,9
5485,8
5486,2
5487,4
5490,8
5491,2
5492,3
5495,10
5497,2
5498,7
5500,8
5501,4
5504,0
5506,2
5507,2
5508,2
5509,6
5511,9
5513,6
5514,2
5516,4
5517,7
5519,9
5520,4
5522,2
5524,2
5525,2
5527,1
5528,3
5529,2
5530,6
5531,0
5532,0
5533,8
5534,0
5536,0
5538,10
5539,10
5540,5
5542,3
5543,7
5544,8
5547,8
5548,6
5549,2
5550,9
5551,4
5553,0
5556,2
5557,10
5558,3
5559,8
5560,10
5561,7
5562,1
5563,2
5565,0
5567,6
5568,5
5569,5
5571,6
5572,7
5573,8
5576,6
5577,2
5578,0
5579,7
5581,1
5582,4
5583,8
5584,8
5585,4
5589,6
5590,2
5591,9
5594,2
5598,2
5600,7
5602,10
5603,0
5604,5
5606,8
5607,3
5608,2
5609,0
5610,5
5611,6
5613,2
5614,8
5615,8
5616,0
5617,0
5619,7
5622,7
5624,6
5625,4
5626,9
5627,8
5629,6
5631,6
5633,6
5634,7
5636,7
5637,5
5638,3
5639,5
5640,2
5641,3
5642,4
5645,4
5647,9
5648,7
5649,4
5650,2
5651,0
5652,6
5653,4
5655,2
5656,1
5658,2
5659,1
5660,7
5661,7
5662,4
5663,3
5664,6
5666,8
5667,2
5670,8
5673,2
5674,7
5675,8
5676,0
5680,2
5683,4
5686,1
5687,5
5690,7
5691,10
5692,0
5693,8
5696,7
5697,10
5699,8
5701,0
5704,0
5706,6
5708,8
5709,5
5713,7
5715,7
5716,8
5718,7
5719,0
5720,2
5721,5
5728,7
5731,6
5734,0
5735,6
5737,0
5741,9
5757,8
5761,7
5762,4
5765,6
5772,10
5773,2
5775,7
5776,1
5777,9
5778,3
5780,2
5781,1
5785,0
5786,0
5787,6
5789,7
5794,10
5797,10
5799,7
5802,4
5804,5
5805,6
5807,4
5808,7
5810,3
5811,6
5813,1
5814,6
5816,0
5817,6
5819,6
5821,0
5823,7
5824,8
5825,9
5828,4
5829,10
5830,0
5832,0
5833,5
5834,2
5835,0
5836,9
5837,10
5838,6
5839,3
5841,5
5842,1
5844,3
5845,5
5846,2
5847,3
5848,1
5849,5
5851,8
5852,3
5853,8
5854,7
5855,2
5856,5
5857,1
5858,5
5859,7
5860,1
5861,4
5862,2
5863,7
5864,10
5865,8
5866,9
5867,6
5870,1
5872,9
5874,4
5876,0
5877,8
5878,3
5879,9
5880,10
5881,6
5882,3
5886,9
5887,5
5889,9
5890,4
5891,9
5892,7
5893,6
5894,2
5896,7
5898,10
5900,7
5902,3
5903,10
5904,0
5905,4
5906,7
5910,4
5912,8
5914,1
5915,3
5921,8
5925,4
5928,1
5929,3
5930,4
5931,6
5933,5
5934,1
5935,2
5937,7
5938,4
5939,5
5941,1
5942,4
5947,7
5950,7
5952,1
5955,4
5958,2
5959,1
5962,6
5967,0
5978,2
5979,1
5980,2
5982,10
5983,8
5984,7
5985,2
5986,4
5987,2
5993,7
5994,7
5995,9
5996,2
5997,10
5998,7
6001,4
6002,6
6005,10
6006,9
6009,7
6017,7
6018,8
6020,6
6023,10
6024,0
6025,4
6026,10
6027,9
6029,8
6031,4
6034,0
6035,0
6037,8
6040,3
6041,9
6042,4
6045,6
6047,6
6052,10
6055,5
6056,4
6060,4
6066,4
6068,6
6069,7
6070,2
6072,2
6083,5
6087,2
6107,0
6114,8
6115,7
6116,2
6118,2
6120,9
6134,8
6140,8
6141,6
6143,0
6150,10
6151,6
6154,8
6155,2
6156,2
6160,3
6161,0
6166,5
6167,7
6168,2
6169,4
6170,1
6171,3
6172,4
6173,8
6178,2
6179,6
6184,0
6185,4
6187,0
6188,4
6190,1
6193,8
6197,7
6200,8
6204,6
6205,2
6207,2
6210,1
6211,7
6216,8
6218,9
6222,2
6229,1
6232,7
6233,4
6234,8
6235,6
6238,2
6243,9
6246,9
6248,0
6267,7
6280,1
6298,9
6309,9
6313,2
6316,2
6322,2
6324,8
6331,0
6337,2
6355,1
6361,7
6366,7
6367,0
6374,7
6377,4
6379,8
6381,0
6382,8
6389,1
6395,7
6400,7
6401,8
6402,8
6405,3
6407,2
6412,7
6414,4
6416,5
6419,0
6425,0
6427,7
6431,3
6437,4
6439,0
6445,10
6450,8
6452,6
6457,5
6460,7
6462,3
6464,7
6473,10
6486,2
6497,1
6521,4
6527,1
6532,7
6533,7
6534,4
6555,9
6557,8
6564,10
6566,7
6568,9
6588,6
6592,2
6609,8
6610,0
6612,6
6618,10
6619,0
6621,7
6630,1
6649,5
6655,8
6667,10
6671,5
6680,4
6686,6
6687,6
6688,5
6689,9
6701,5
6704,4
6705,5
6707,0
6708,6
6709,0
6712,3
6716,6
6717,4
6722,9
6723,8
6725,8
6731,10
6732,0
6733,3
6734,2
6737,10
6740,4
6748,10
6752,7
6757,9
6761,7
6772,7
6774,9
6783,10
6784,0
6785,0
6789,6
6791,6
6792,5
6794,1
6796,5
6797,9
6798,8
6799,4
6808,10
6809,4
6814,8
6816,7
6818,0
6821,9
6822,2
6824,3
6827,5
6829,2
6833,8
6846,5
6850,0
6854,10
6856,8
6862,9
6877,2
6888,9
6892,7
6918,0
6919,6
6925,0
6934,7
6946,10
6967,4
6980,0
6983,0
6986,2
7009,8
7013,8
7018,0
7020,7
7021,5
7026,6
7027,4
7028,4
7029,7
7030,1
7031,4
7033,4
7034,7
7036,3
7037,9
7038,5
7039,1
7040,7
7041,8
7043,7
7044,10
7045,4
7050,0
7052,5
7054,5
7055,7
7057,6
7058,1
7059,7
7064,2
7069,4
7070,9
7071,10
7074,7
7076,6
7077,8
7078,3
7081,7
7082,8
7084,3
7085,6
7086,1
7094,4
7096,7
7120,0
7121,6
7128,4
7131,4
7134,7
7135,2
7141,3
7148,6
7151,4
7154,0
7156,9
7159,0
7163,8
7167,9
7172,7
7175,2
7181,6
7182,1
7185,9
7190,7
7194,10
7196,2
7199,2
7203,10
7204,6
7207,4
7211,2
7216,9
7217,4
7218,7
7227,8
7228,6
7237,4
7240,10
7246,8
7251,9
7252,1
7253,8
7254,4
7258,6
7259,7
7261,7
7269,0
7285,3
7287,0
7288,9
7291,6
7296,4
7297,4
7300,3
7304,0
7306,3
7312,3
7314,6
7315,1
7322,0
7326,1
7328,2
7339,3
7349,8
7359,6
7362,10
7369,5
7370,2
7376,8
7377,10
7378,3
7379,2
7414,0
7418,0
7428,5
7444,2
7476,10
7484,0
7493,3
7500,1
7506,7
7507,6
7511,10
7518,9
7525,4
7527,9
7532,2
7535,9
7538,10
7541,0
7547,5
7554,0
7560,7
7564,0
7577,0
7586,6
7591,7
7596,1
7598,3
7614,8
7618,9
7620,7
7621,9
7638,5
7642,2
7655,3
7657,9
7676,9
7684,3
7685,6
7689,7
7693,6
7694,4
7695,0
7698,0
7699,4
7700,7
7701,6
7705,7
7706,7
7707,6
7708,3
7710,4
7727,6
7730,3
7731,0
7737,0
7739,3
7742,10
7766,2
7771,10
7772,4
7777,7
7780,0
7782,7
7799,6
7803,0
7807,10
7808,8
7809,6
7810,2
7812,6
7816,2
7817,8
7818,6
7819,2
7820,10
7822,0
7826,9
7835,2
7839,10
7841,6
7845,0
7846,3
7847,10
7850,0
7851,7
7853,4
7856,6
7859,8
7873,2
7875,5
7883,5
7885,5
7887,4
7895,10
7897,6
7899,5
7902,6
7907,6
7908,6
7910,10
7920,3
7923,10
7930,9
7934,1
7935,4
7936,4
7950,10
7955,2
7965,8
7969,6
7972,6
7976,3
7984,0
8004,0
8005,9
8006,7
8015,1
8020,3
8021,0
8022,3
8026,6
8035,3
8038,2
8040,7
8041,10
8051,0
8054,0
8063,4
8073,9
8076,6
8078,8
8080,6
8107,5
8113,6
8116,0
8118,4
8120,5
8123,2
8127,0
8137,0
8155,10
8160,8
8161,9
8169,1
8184,6
8189,4
8194,9
8195,3
8196,8
8197,7
8201,1
8205,7
8208,2
8209,4
8211,4
8218,8
8236,0
8240,4
8242,2
8244,6
8254,7
8255,1
8264,5
8269,8
8271,10
8278,2
8281,1
8288,8
8290,6
8293,6
8296,7
8299,4
8303,4
8304,0
8317,10
8323,3
8324,4
8329,4
8330,10
8333,6
8334,4
8335,10
8345,1
8350,4
8355,1
8364,4
8366,7
8367,6
8372,1
8373,6
8387,0
8389,3
8391,7
8393,1
8394,9
8395,1
8396,7
8408,8
8412,7
8413,4
8416,7
8418,7
8422,9
8423,9
8426,6
8432,2
8434,3
8436,2
8437,7
8438,6
8439,6
8442,6
8443,8
8456,7
8463,7
8464,2
8474,10
8476,6
8482,9
8485,10
8495,6
8500,9
8514,7
8519,3
8527,5
8528,8
8530,3
8531,4
8534,6
8536,2
8537,0
8538,2
8540,8
8544,0
8548,2
8550,4
8551,4
8552,4
8556,4
8558,0
8560,3
8562,3
8565,1
8566,5
8567,4
8569,0
8570,5
8571,0
8572,0
8573,8
8579,10
8580,7
8581,7
8584,2
8586,5
8587,2
8588,1
8595,9
8597,10
8598,9
8599,1
8607,0
8610,2
8611,6
8614,1
8616,7
8617,7
8619,7
8623,0
8628,0
8633,6
8634,4
8635,8
8636,7
8637,3
8638,2
8641,4
8642,1
8643,3
8645,4
8649,8
8650,7
8655,3
8659,9
8662,3
8663,6
8664,10
8665,10
8668,8
8669,0
8670,4
8671,7
8681,1
8688,8
8690,10
8692,9
8693,2
8696,7
8699,0
8702,2
8707,3
8708,10
8713,5
8714,2
8716,2
8717,6
8720,0
8721,4
8722,9
8728,8
8730,5
8734,2
8735,7
8738,8
8740,10
8742,0
8748,3
8750,5
8761,7
8768,0
8769,4
8770,1
8771,0
8779,7
8783,3
8784,8
8786,0
8790,9
8793,10
8794,10
8797,7
8799,5
8803,5
8804,6
8808,2
8813,5
8815,5
8816,5
8818,8
8822,7
8830,7
8838,4
8841,0
8843,1
8846,10
8847,8
8863,0
8876,6
8878,8
8880,7
8881,8
8882,0
8897,9
8901,6
8903,2
8904,4
8909,4
8912,8
8913,8
8914,9
8915,7
8918,0
8920,7
8922,0
8924,2
8925,10
8927,3
8928,2
8929,0
8933,10
8937,0
8938,6
8941,8
8945,3
8947,0
8948,5
8950,8
8951,7
8953,6
8955,7
8956,8
8958,2
8959,8
8960,10
8961,4
8966,10
8967,10
8969,9
8970,1
8972,7
8975,8
8976,2
8986,3
8987,10
8988,8
8989,9
8993,2
8994,0
8995,7
8997,6
8998,8
8999,0
9000,0
9001,10
9002,5
9003,10
9006,4
9008,7
9012,1
9013,0
9018,3
9019,10
9020,7
9021,2
9026,9
9028,7
9031,2
9032,7
9033,5
9036,7
9037,3
9041,8
9046,0
9049,8
9051,10
9052,5
9055,0
9057,3
9062,0
9063,6
9064,10
9073,8
9074,9
9077,10
9078,2
9079,0
9080,1
9087,9
9088,8
9092,4
9097,6
9098,3
9099,0
9100,6
9101,10
9102,2
9103,4
9104,10
9106,7
9107,5
9113,6
9115,0
9116,8
9120,2
9122,2
9123,6
9124,2
9125,0
9126,8
9130,2
9138,1
9140,3
9145,9
9146,5
9147,8
9149,8
9152,9
9155,7
9159,8
9161,7
9165,6
9167,2
9168,0
9170,0
9172,7
9173,3
9174,7
9178,0
9179,6
9181,6
9183,5
9184,8
9186,2
9187,2
9188,8
9189,8
9194,8
9196,1
9203,3
9204,9
9209,3
9211,7
9216,3
9218,1
9219,4
9227,0
9229,6
9231,2
9236,7
9237,2
9238,10
9241,0
9242,3
9244,3
9245,5
9247,6
9251,1
9256,7
9258,0
9260,6
9262,7
9265,7
9266,8
9269,6
9270,7
9275,6
9278,10
9281,9
9283,6
9284,4
9285,10
9286,7
9291,10
9293,10
9301,8
9302,7
9304,10
9306,3
9311,7
9313,3
9314,1
9315,10
9316,8
9318,10
9319,0
9320,6
9321,0
9322,9
9324,2
9326,7
9327,6
9328,4
9330,0
9335,1
9336,5
9339,4
9340,2
9341,2
9342,8
9343,7
9346,0
9347,3
9349,9
9350,6
9352,10
9354,8
9355,1
9356,10
9358,0
9359,4
9363,8
9365,3
9369,9
9371,5
9372,5
9374,4
9376,3
9379,5
9380,9
9381,5
9385,0
9387,9
9391,2
9394,6
9396,6
9397,2
9400,10
9401,7
9403,8
9406,4
9409,8
9415,7
9417,7
9420,0
9422,2
9424,5
9428,10
9429,1
9430,9
9432,2
9434,8
9437,5
9438,2
9440,1
9442,7
9445,8
9449,9
9453,0
9454,0
9456,10
9458,4
9463,4
9466,4
9469,0
9470,5
9473,4
9479,9
9480,2
9481,6
9482,7
9486,2
9489,6
9494,10
9502,9
9506,0
9512,7
9513,6
9518,8
9521,4
9522,0
9523,2
9525,4
9530,8
9533,8
9537,3
9541,0
9550,7
9551,4
9556,7
9560,6
9564,8
9566,10
9574,4
9577,0
9580,7
9585,6
9591,1
9593,0
9596,0
9604,0
9606,10
9607,3
9608,4
9622,5
9626,3
9633,10
9634,10
9636,9
9638,6
9640,4
9641,8
9645,1
9650,5
9651,5
9654,7
9658,2
9661,0
9690,7
9692,7
9697,1
9701,4
9703,7
9719,1
9720,8
9721,0
9728,8
9729,9
9731,10
9732,0
9733,6
9738,5
9750,5
9755,3
9768,0
9779,10
9783,10
9786,9
9792,7
9793,6
9794,0
9798,8
9801,4
9812,10
9816,0
9825,8
9827,8
9830,4
9834,9
9847,4
9849,7
9850,8
9858,8
9863,4
9864,5
9867,0
9869,1
9870,1
9874,6
9877,8
9879,3
9880,7
9882,0
9883,3
9884,4
9885,0
9886,4
9887,9
9888,3
9891,0
9892,0
9895,10
9896,5
9897,2
9899,0
9905,9
9906,3
9908,3
9911,4
9912,4
9914,1
9915,9
9919,2
9921,3
9923,1
9930,10
9938,6
9949,1
9950,3
9954,8
9955,8
9974,2
9985,8
9986,0
9987,10
9990,6
9996,0
10005,4
10006,1
10012,5
10021,4
10035,7
10054,0
10055,8
10071,8
10074,9
10077,8
10079,3
10084,1
10087,0
10089,7
10092,6
10094,10
10096,1
10100,9
10102,0
10104,7
10107,7
10109,3
10116,8
10118,7
10133,3
10134,5
10136,8
10138,0
10141,6
10151,2
10156,3
10157,7
10158,7
10165,3
10166,9
10174,0
10177,10
10181,8
10183,3
10184,3
10189,6
10191,0
10194,3
10196,8
10200,6
10202,6
10204,8
10207,10
10208,7
10209,2
10217,3
10219,3
10220,7
10221,10
10227,0
10230,2
10233,7
10236,7
10238,6
10246,0
10251,7
10253,8
10255,8
10260,2
10261,6
10263,2
10265,3
10266,3
10269,9
10271,1
10275,0
10277,9
10280,6
10285,3
10288,6
10290,2
10291,2
10292,10
10294,9
10296,7
10302,7
10312,1
10348,8
10357,10
10373,7
10385,8
10388,0
10391,4
10394,5
10397,0
10398,2
10405,5
10414,6
10420,0
10421,9
10430,6
10431,3
10434,6
10439,2
10441,8
10442,3
10443,8
10444,2
10446,0
10452,3
10460,8
10461,6
10466,6
10467,5
10469,9
10470,10
10471,8
10473,8
10475,3
10478,8
10480,6
10484,0
10485,6
10486,3
10487,5
10488,8
10490,8
10492,6
10493,6
10497,7
10503,1
10504,3
10507,5
10511,7
10512,9
10514,9
10515,6
10519,1
10522,1
10526,2
10532,5
10534,5
10536,0
10541,10
10543,5
10544,6
10547,3
10552,3
10562,9
10563,3
10564,0
10567,7
10570,6
10575,5
10580,8
10581,6
10582,0
10584,2
10586,1
10587,7
10588,2
10589,0
10590,10
10597,0
10599,0
10607,4
10616,3
10621,7
10625,8
10629,3
10632,0
10636,10
10638,7
10640,5
10641,5
10642,3
10645,0
10647,10
10650,7
10652,8
10656,9
10659,0
10661,5
10662,8
10664,7
10666,0
10671,0
10673,2
10678,10
10681,8
10682,7
10683,3
10684,6
10690,0
10692,8
10693,3
10696,7
10701,5
10702,6
10707,0
10708,0
10712,10
10713,8
10718,8
10720,5
10722,8
10723,2
10724,7
10725,10
10726,5
10727,6
10733,3
10734,7
10738,0
10739,5
10743,7
10744,3
10745,7
10748,2
10750,2
10751,4
10755,2
10756,4
10757,10
10759,2
10763,7
10764,0
10765,6
10767,8
10769,2
10770,0
10771,3
10776,2
10777,6
10779,8
10783,9
10785,7
10793,8
10797,3
10799,3
10800,10
10801,6
10802,3
10804,3
10805,2
10807,2
10808,10
10809,0
10810,6
10811,8
10814,0
10819,8
10820,0
10822,4
10823,8
10824,7
10825,7
10826,0
10827,9
10830,0
10833,6
10834,6
10835,3
10836,5
10844,2
10846,9
10847,2
10848,8
10850,3
10851,10
10854,10
10855,9
10856,0
10858,8
10860,7
10863,10
10864,7
10865,6
10869,9
10870,10
10871,10
10873,0
10879,10
10881,2
10882,6
10883,1
10887,3
10889,10
10893,7
10896,7
10897,2
10900,9
10903,9
10904,9
10906,0
10915,4
10918,8
10919,6
10920,3
10922,0
10923,7
10924,3
10925,5
10927,7
10929,8
10930,10
10932,6
10936,9
10937,3
10938,6
10942,3
10948,4
10949,8
10950,9
10951,3
10953,1
10956,1
10958,9
10959,7
10960,9
10961,7
10962,4
10963,6
10964,3
10969,1
10974,6
10976,2
10978,3
10984,2
10986,2
10987,3
10988,6
10989,1
10992,4
10997,7
10999,6
11001,5
11003,9
11005,7
11007,9
11009,3
11011,2
11012,6
11016,0
11017,0
11023,8
11026,0
11031,2
11032,8
11033,8
11034,8
11035,10
11039,0
11041,5
11042,8
11043,3
11044,10
11045,7
11046,2
11048,6
11049,3
11051,5
11052,9
11053,8
11054,2
11055,4
11058,8
11064,2
11065,10
11069,0
11092,8
11094,3
11107,4
11111,9
11116,5
11123,9
11125,7
11129,3
11132,1
11136,3
11138,4
11143,10
11144,3
11152,10
11154,0
11155,8
11158,6
11160,0
11162,5
11163,6
11164,8
11168,10
11172,2
11173,8
11176,6
11182,5
11184,10
11197,3
11199,10
11200,4
11201,7
11204,0
11206,0
11210,7
11211,6
11212,9
11213,10
11219,3
11220,5
11221,8
11222,3
11228,5
11230,9
11231,5
11234,8
11238,6
11239,0
11241,2
11242,0
11246,4
11247,8
11248,9
11250,4
11252,9
11255,0
11258,0
11259,0
11268,0
11273,8
11274,6
11275,5
11279,5
11284,7
11296,10
11297,8
11302,6
11309,1
11310,3
11317,4
11318,9
11319,0
11323,0
11324,6
11326,10
11328,2
11330,10
11331,2
11333,7
11336,9
11338,9
11340,0
11341,2
11342,3
11344,8
11345,7
11346,3
11347,1
11351,10
11354,2
11363,8
11366,9
11368,7
11370,0
11374,6
11375,7
11378,4
11381,10
11388,0
11389,10
11390,2
11394,1
11398,10
11399,9
11401,9
11402,4
11403,6
11404,6
11405,6
11407,5
11411,3
11416,2
11417,0
11419,6
11421,10
11424,2
11426,3
11427,9
11429,10
11431,0
11433,10
11434,4
11435,6
11437,2
11439,3
11441,0
11443,5
11445,9
11446,1
11451,4
11457,4
11458,9
11462,2
11468,6
11471,6
11476,0
11478,7
11481,2
11484,5
11485,1
11486,0
11488,3
11491,3
11493,9
11496,10
11497,6
11504,0
11508,6
11510,10
11511,8
11515,0
11518,3
11519,1
11521,10
11525,3
11527,8
11532,2
11534,5
11538,8
11540,10
11545,4
11549,5
11550,0
11554,4
11555,7
11558,3
11559,10
11563,10
11564,4
11567,3
11569,4
11573,3
11576,10
11582,8
11586,2
11590,7
11597,0
11601,8
11608,9
11609,0
11616,8
11618,2
11620,5
11621,2
11622,6
11624,7
11625,9
11630,10
11631,6
11632,6
11637,4
11640,10
11641,9
11643,8
11645,0
11646,8
11649,7
11651,2
11656,3
11662,8
11664,3
11694,8
11699,10
11701,10
11709,1
11712,7
11722,0
11724,7
11728,7
11751,1
11752,8
11754,1
11760,3
11763,10
11772,0
11773,0
11775,7
11779,2
11781,10
11782,1
11784,9
11785,9
11788,8
11789,6
11791,2
11792,1
11793,7
11805,9
11809,7
11810,8
11811,4
11812,7
11813,8
11814,10
11815,3
11817,8
11818,9
11821,0
11824,0
11825,7
11826,5
11834,7
11841,7
11843,5
11848,6
11849,5
11850,10
11851,10
11855,10
11856,8
11860,6
11877,8
11878,0
11880,9
11882,4
11883,5
11884,7
11885,2
11886,2
11889,6
11892,4
11893,0
11898,7
11908,6
11912,9
11914,4
11917,9
11921,7
11922,6
11924,0
11929,5
11931,10
11932,6
11933,10
11934,6
11942,3
11949,5
11950,5
11951,2
11952,7
11953,0
11960,2
11961,9
11962,5
11963,1
11966,3
11967,6
11971,7
11973,9
11977,10
11981,2
11984,4
11987,1
11988,6
11990,1
11991,2
11996,2
12000,6
12001,7
12006,0
12007,4
12008,3
12009,7
12010,7
12011,4
12012,6
12013,2
12014,1
12015,3
12016,8
12017,6
12023,7
12024,7
12028,1
12033,7
12042,6
12045,7
12047,3
12049,9
12050,4
12055,6
12056,2
12057,1
12058,7
12061,6
12063,10
12064,3
12065,3
12067,7
12068,3
12069,10
12072,1
12073,4
12076,4
12077,7
12078,3
12079,0
12081,10
12085,8
12089,2
12090,7
12091,7
12092,10
12093,6
12094,4
12095,3
12097,6
12098,0
12101,3
12105,5
12107,1
12112,3
12116,6
12117,3
12118,6
12120,9
12122,7
12123,3
12126,10
12131,5
12138,4
12142,5
12150,8
12151,5
12157,9
12161,8
12163,10
12164,5
12166,7
12168,6
12170,6
12171,6
12172,6
12173,10
12174,2
12175,8
12177,5
12178,9
12179,10
12180,3
12182,6
12183,7
12186,0
12187,4
12189,0
12190,9
12191,6
12192,3
12193,6
12195,2
12196,7
12197,3
12198,5
12199,6
12200,6
12201,7
12202,8
12203,8
12207,5
12208,0
12209,4
12210,2
12211,3
12214,10
12216,3
12220,2
12221,9
12223,0
12225,8
12226,8
12229,7
12230,6
12231,0
12232,7
12233,5
12234,3
12235,7
12236,4
12237,8
12238,10
12239,3
12243,10
12244,2
12246,7
12248,1
12249,5
12250,2
12252,6
12253,4
12254,4
12255,10
12265,8
12266,0
12267,8
12269,7
12271,6
12273,6
12274,6
12277,4
12281,8
12283,10
12286,7
12287,1
12294,8
12295,3
12318,6
12324,3
12325,9
12326,8
12328,7
12329,9
12332,7
12352,6
12354,5
12360,6
12366,7
12368,5
12372,8
12378,7
12379,7
12381,2
12385,4
12387,10
12391,3
12392,8
12396,10
12397,9
12398,9
12403,3
12408,3
12410,1
12417,1
12421,0
12423,4
12425,5
12427,2
12430,7
12432,4
12434,7
12435,2
12436,7
12437,3
12441,3
12442,10
12443,5
12448,0
12449,3
12450,4
12458,7
12459,2
12462,5
12467,7
12471,9
12474,6
12482,7
12491,6
12492,1
12493,8
12495,10
12496,7
12500,0
12502,2
12503,8
12505,1
12507,1
12514,10
12515,9
12517,3
12518,0
12523,2
12525,3
12526,6
12527,1
12533,4
12534,0
12539,10
12540,7
12542,7
12543,9
12546,2
12548,9
12549,5
12550,10
12551,6
12552,4
12554,8
12556,2
12560,8
12561,7
12562,6
12564,0
12568,6
12573,6
12579,3
12580,5
12583,8
12585,1
12586,5
12588,6
12589,9
12590,6
12594,5
12595,3
12596,7
12597,8
12598,10
12605,8
12607,3
12610,9
12613,1
12616,5
12618,10
12622,6
12623,6
12626,1
12629,10
12633,6
12634,2
12637,0
12642,9
12645,7
12650,8
12655,7
12658,3
12659,7
12670,3
12677,0
12683,2
12686,0
12689,10
12690,2
12692,10
12695,3
12696,8
12698,6
12699,3
12701,4
12702,5
12703,5
12706,8
12707,3
12708,7
12709,7
12710,8
12711,10
12712,2
12713,0
12714,9
12716,10
12717,1
12719,6
12720,0
12721,8
12722,1
12723,10
12724,4
12726,2
12727,6
12728,10
12729,1
12730,3
12733,1
12735,5
12736,5
12737,4
12738,10
12739,3
12743,8
12744,3
12745,6
12746,2
12747,1
12750,0
12754,7
12756,6
12757,7
12758,8
12759,3
12761,2
12763,1
12766,2
12767,1
12768,4
12769,5
12773,8
12776,3
12778,4
12780,6
12782,7
12783,7
12785,7
12791,7
12794,8
12796,7
12801,10
12803,0
12808,6
12810,4
12812,7
12815,2
12817,4
12819,9
12820,2
12821,8
12822,7
12823,9
12824,3
12825,4
12827,1
12828,6
12829,4
12830,9
12831,6
12833,5
12837,8
12839,5
12841,10
12842,10
12844,3
12845,0
12849,6
12850,9
12852,5
12873,3
12883,0
12888,3
12889,3
12903,8
12904,6
12906,6
12907,1
12908,5
12909,9
12910,10
12911,9
12916,5
12918,7
12920,0
12921,2
12922,7
12926,1
12930,9
12932,1
12933,5
12934,4
12942,6
12944,8
12945,6
12946,9
12950,5
12953,4
12954,10
12955,2
12958,9
12960,8
12961,8
12962,7
12963,1
12964,5
12966,6
12968,8
12972,5
12976,4
12980,9
12982,9
12991,6
12992,8
12994,1
12995,7
12997,10
13004,6
13007,1
13015,1
13018,1
13019,6
13021,3
13024,0
13026,0
13028,8
13034,1
13035,6
13040,8
13041,8
13046,7
13051,8
13052,0
13053,9
13059,6
13063,3
13064,7
13066,8
13072,10
13074,7
13075,8
13076,0
13077,0
13078,6
13080,6
13081,3
13090,3
13094,9
13103,5
13107,8
13111,1
13115,8
13116,3
13118,0
13120,1
13121,2
13122,5
13123,6
13124,0
13125,0
13127,10
13128,4
13130,6
13131,6
13132,0
13134,8
13135,3
13136,2
13138,0
13143,9
13145,1
13147,7
13148,8
13152,7
13154,5
13156,10
13158,6
13164,4
13175,8
13179,6
13188,4
13189,1
13191,8
13192,1
13193,2
13194,5
13195,4
13196,9
13202,3
13206,7
13208,0
13209,2
13210,7
13211,3
13212,10
13213,7
13215,5
13216,9
13221,10
13222,1
13224,10
13225,9
13241,4
13242,10
13243,6
13249,10
13253,7
13254,6
13255,5
13256,8
13257,7
13259,1
13260,6
13262,4
13263,6
13264,7
13266,8
13267,8
13269,7
13270,3
13276,7
13277,8
13279,1
13283,8
13285,7
13289,8
13291,0
13293,7
13295,2
13297,10
13301,6
13306,8
13307,3
13308,2
13311,2
13321,6
13323,10
13324,4
13326,10
13334,5
13335,4
13338,4
13347,10
13348,1
13349,8
13358,3
13362,2
13368,6
13373,6
13379,6
13380,3
13381,8
13382,3
13383,0
13384,4
13387,6
13388,3
13389,5
13390,10
13399,10
13400,8
13401,1
13403,9
13409,9
13417,5
13427,7
13429,6
13436,3
13444,5
13445,7
13446,7
13447,3
13450,10
13455,1
13456,8
13457,5
13458,5
13459,6
13460,7
13462,1
13463,6
13465,9
13467,9
13468,0
13469,9
13471,7
13473,6
13474,7
13477,6
13479,3
13480,9
