,cluster
987,5
988,8
989,12
990,12
992,5
993,8
994,13
995,3
996,6
997,8
998,6
999,3
1000,9
1001,5
1002,9
1003,9
1004,5
1005,3
1006,13
1007,6
1008,3
1009,10
1010,6
1011,10
1012,4
1013,10
1014,6
1016,11
1017,4
1018,9
1019,4
1020,3
1022,1
1023,13
1024,9
1025,10
1026,11
1028,10
1029,10
1030,9
1031,8
1033,2
1034,2
1035,2
1036,10
1037,6
1038,8
1039,6
1040,10
1041,4
1042,7
1043,3
1044,2
1045,7
1046,7
1047,10
1049,5
1050,13
1051,6
1052,5
1053,6
1054,12
1055,5
1056,6
1057,4
1058,4
1059,9
1060,6
1061,5
1062,8
1063,4
1064,1
1065,6
1066,6
1068,5
1069,5
1071,6
1072,10
1073,5
1074,10
1075,1
1076,2
1077,8
1078,6
1079,5
1080,2
1081,7
1082,13
1084,10
1085,6
1086,3
1087,10
1088,2
1090,3
1092,3
1093,7
1094,13
1096,2
1098,3
1100,6
1101,2
1103,10
1104,10
1106,5
1109,10
1111,12
1112,3
1113,12
1114,9
1115,6
1116,13
1118,1
1120,13
1121,8
1122,6
1123,5
1124,2
1126,6
1128,12
1130,4
1131,5
1132,8
1134,10
1136,9
1137,12
1138,13
1139,2
1140,9
1143,11
1145,6
1146,5
1147,13
1148,4
1149,8
1150,3
1151,9
1152,2
1153,6
1154,4
1155,4
1156,11
1157,4
1158,4
1161,11
1162,1
1163,4
1164,6
1165,13
1166,7
1167,11
1168,9
1169,11
1170,10
1172,7
1173,6
1174,4
1176,8
1177,4
1178,4
1179,13
1180,3
1182,6
1183,10
1184,6
1185,13
1186,3
1187,4
1189,5
1190,11
1191,7
1192,13
1193,7
1194,8
1196,7
1197,10
1198,5
1199,9
1200,10
1201,2
1202,5
1203,9
1205,3
1206,13
1208,6
1209,5
1210,10
1211,4
1212,6
1214,4
1215,5
1216,5
1219,12
1220,3
1221,10
1222,9
1223,13
1224,4
1225,4
1226,1
1227,7
1228,13
1230,13
1231,1
1232,3
1233,4
1235,7
1236,13
1237,12
1238,10
1239,6
1240,5
1241,1
1245,7
1246,2
1248,2
1249,2
1250,4
1251,3
1253,10
1254,10
1255,13
1256,10
1258,10
1259,11
1260,13
1262,2
1263,6
1264,13
1265,13
1266,10
1267,3
1268,10
1269,10
1270,10
1271,8
1272,8
1273,7
1274,10
1275,2
1276,1
1278,12
1279,9
1280,1
1281,13
1282,5
1284,12
1285,10
1286,13
1287,13
1288,6
1289,4
1291,4
1292,4
1293,4
1296,6
1297,13
1298,4
1299,12
1300,1
1301,5
1304,2
1305,9
1306,6
1307,6
1308,13
1309,2
1310,2
1311,6
1312,5
1313,10
1315,3
1316,2
1317,6
1318,10
1319,10
1320,13
1321,8
1323,12
1324,10
1325,4
1326,1
1327,5
1328,2
1329,4
1330,5
1331,4
1332,10
1333,5
1337,6
1338,13
1339,10
1340,7
1341,4
1343,4
1345,10
1346,6
1347,5
1348,12
1349,4
1350,10
1352,6
1354,8
1355,1
1356,10
1357,7
1358,13
1359,13
1361,5
1362,6
1363,6
1364,12
1365,8
1366,9
1367,6
1368,12
1369,10
1372,13
1374,6
1375,10
1376,10
1377,9
1378,10
1379,1
1380,2
1382,6
1384,9
1385,7
1386,13
1389,7
1390,2
1392,10
1393,3
1394,5
1395,8
1396,5
1397,3
1398,13
1402,8
1403,7
1404,2
1405,13
1406,10
1407,12
1409,8
1410,5
1411,8
1413,13
1415,3
1417,13
1418,9
1419,5
1421,9
1422,6
1423,2
1424,9
1425,10
1426,4
1428,7
1429,8
1430,10
1431,4
1433,5
1434,6
1436,4
1437,10
1438,11
1439,4
1440,2
1442,7
1443,6
1444,9
1445,3
1446,6
1447,5
1448,12
1449,7
1453,2
1454,6
1455,12
1456,6
1457,2
1458,8
1459,11
1461,6
1462,9
1464,4
1467,6
1468,8
1469,13
1470,6
1471,7
1472,6
1473,4
1474,5
1475,5
1478,11
1479,9
1481,3
1484,7
1485,2
1487,13
1488,1
1489,4
1490,11
1491,5
1493,6
1494,8
1495,12
1496,11
1497,12
1498,11
1499,4
1501,7
1503,5
1504,9
1505,3
1506,11
1509,7
1512,11
1513,8
1515,3
1516,13
1517,3
1518,10
1519,4
1520,6
1521,5
1523,13
1524,4
1525,13
1526,7
1528,10
1529,13
1530,13
1531,11
1533,7
1536,5
1537,8
1538,7
1539,13
1540,12
1541,2
1542,4
1543,6
1544,10
1545,10
1547,4
1548,12
1550,8
1552,1
1554,5
1557,2
1558,6
1560,6
1562,13
1563,10
1564,8
1565,6
1566,4
1568,5
1569,11
1570,13
1571,2
1572,2
1573,2
1577,6
1578,8
1579,3
1580,3
1581,6
1582,12
1583,8
1584,6
1585,6
1586,3
1589,13
1590,13
1592,9
1595,8
1598,8
1600,6
1601,5
1602,6
1603,6
1605,13
1606,5
1609,12
1610,8
1611,8
1612,5
1615,1
1616,8
1617,1
1618,9
1619,5
1620,2
1621,4
1622,10
1623,9
1624,9
1625,2
1626,4
1627,12
1629,10
1630,1
1632,5
1633,4
1634,10
1636,10
1638,6
1639,5
1641,7
1642,6
1644,9
1645,7
1647,12
1649,2
1650,4
1651,9
1653,7
1654,3
1657,1
1659,9
1661,6
1662,4
1663,8
1665,2
1667,8
1668,2
1670,2
1671,4
1674,6
