,cluster
3,11.0
5,2.0
6,11.0
8,3.0
9,9.0
10,9.0
11,9.0
12,0.0
13,6.0
14,8.0
15,11.0
16,3.0
18,1.0
19,5.0
20,5.0
22,6.0
23,3.0
24,2.0
25,9.0
26,3.0
27,3.0
28,11.0
29,5.0
30,2.0
31,5.0
32,2.0
33,0.0
36,2.0
37,2.0
38,5.0
39,8.0
41,4.0
43,8.0
45,8.0
46,1.0
47,9.0
48,0.0
49,2.0
50,3.0
51,1.0
52,1.0
53,1.0
55,10.0
56,4.0
57,3.0
59,11.0
60,7.0
61,9.0
63,3.0
64,4.0
65,2.0
66,2.0
67,4.0
68,1.0
69,1.0
70,10.0
71,0.0
72,2.0
73,9.0
74,4.0
75,4.0
76,10.0
77,3.0
78,5.0
80,4.0
81,5.0
82,8.0
83,2.0
85,8.0
86,3.0
87,10.0
88,2.0
89,3.0
90,2.0
91,5.0
92,3.0
93,10.0
94,4.0
95,10.0
96,10.0
97,4.0
98,5.0
99,9.0
100,2.0
101,5.0
102,5.0
103,
104,10.0
107,2.0
108,3.0
109,4.0
110,8.0
111,1.0
112,4.0
113,11.0
114,5.0
115,0.0
116,3.0
117,9.0
118,5.0
119,5.0
120,3.0
122,10.0
123,8.0
124,10.0
125,6.0
126,2.0
128,1.0
129,10.0
130,4.0
131,10.0
132,3.0
133,3.0
134,3.0
136,2.0
137,1.0
138,8.0
139,1.0
140,3.0
141,1.0
143,5.0
144,11.0
145,9.0
146,8.0
148,5.0
149,2.0
150,5.0
151,9.0
152,6.0
153,8.0
154,3.0
156,11.0
157,7.0
159,2.0
161,5.0
162,11.0
163,11.0
165,8.0
166,5.0
167,11.0
168,9.0
170,7.0
171,11.0
172,11.0
173,5.0
174,4.0
175,2.0
177,5.0
179,1.0
180,2.0
181,7.0
182,1.0
183,3.0
184,2.0
185,1.0
186,9.0
187,4.0
188,1.0
189,6.0
190,1.0
191,3.0
195,10.0
196,7.0
197,0.0
199,0.0
200,4.0
201,9.0
202,5.0
203,8.0
204,3.0
205,2.0
207,1.0
209,3.0
210,5.0
212,3.0
213,5.0
214,1.0
216,8.0
217,9.0
219,6.0
221,5.0
222,10.0
223,11.0
224,2.0
225,5.0
227,3.0
228,2.0
230,9.0
233,10.0
234,4.0
235,4.0
236,5.0
237,11.0
238,1.0
239,1.0
240,2.0
241,11.0
242,6.0
243,1.0
244,10.0
245,4.0
246,1.0
247,5.0
249,4.0
250,7.0
252,3.0
253,0.0
255,8.0
256,11.0
257,11.0
258,3.0
259,10.0
260,2.0
261,3.0
262,11.0
263,8.0
265,11.0
266,2.0
269,0.0
270,3.0
271,4.0
272,7.0
273,5.0
274,0.0
275,6.0
276,8.0
278,7.0
279,9.0
280,7.0
281,9.0
282,2.0
283,7.0
284,2.0
286,9.0
287,11.0
288,9.0
289,7.0
290,1.0
291,6.0
292,3.0
293,11.0
295,8.0
296,0.0
297,2.0
298,4.0
299,4.0
300,3.0
302,11.0
303,4.0
304,5.0
305,11.0
306,9.0
307,1.0
308,1.0
309,5.0
310,11.0
311,4.0
312,0.0
313,6.0
314,2.0
315,6.0
316,9.0
317,9.0
318,5.0
319,3.0
320,10.0
321,3.0
322,6.0
323,3.0
324,2.0
325,5.0
326,6.0
327,11.0
328,5.0
329,5.0
330,1.0
332,2.0
333,2.0
334,9.0
335,5.0
336,4.0
337,10.0
339,1.0
340,5.0
341,9.0
343,9.0
344,2.0
345,5.0
346,8.0
348,8.0
350,9.0
351,11.0
352,1.0
353,11.0
354,1.0
355,10.0
357,3.0
358,5.0
359,2.0
361,1.0
362,6.0
363,4.0
364,9.0
365,11.0
366,11.0
367,5.0
368,8.0
369,0.0
370,5.0
371,4.0
373,0.0
374,11.0
375,10.0
376,2.0
378,10.0
379,9.0
380,9.0
381,10.0
382,11.0
383,6.0
384,0.0
386,9.0
387,10.0
388,9.0
390,5.0
391,6.0
392,9.0
393,1.0
394,
395,9.0
397,2.0
398,3.0
399,1.0
400,3.0
401,11.0
402,0.0
403,9.0
404,2.0
405,5.0
406,2.0
407,3.0
408,10.0
409,2.0
411,9.0
412,2.0
413,5.0
415,7.0
416,1.0
418,5.0
419,4.0
420,2.0
421,4.0
422,0.0
424,8.0
425,6.0
426,11.0
427,4.0
428,4.0
429,3.0
430,10.0
432,
433,0.0
434,9.0
435,8.0
437,11.0
438,9.0
439,11.0
440,3.0
441,9.0
442,9.0
443,1.0
444,9.0
445,11.0
446,3.0
447,3.0
448,4.0
449,6.0
450,5.0
451,10.0
452,9.0
453,8.0
455,0.0
456,2.0
457,5.0
458,0.0
459,3.0
462,8.0
463,11.0
464,2.0
465,8.0
466,11.0
467,0.0
468,2.0
469,4.0
470,2.0
471,6.0
472,8.0
473,5.0
474,11.0
476,5.0
478,5.0
479,4.0
480,11.0
481,7.0
482,4.0
484,11.0
486,4.0
487,11.0
488,5.0
489,4.0
491,3.0
493,2.0
495,5.0
496,9.0
497,8.0
499,11.0
502,8.0
503,8.0
504,5.0
505,0.0
506,11.0
507,10.0
508,5.0
509,9.0
510,3.0
511,5.0
512,1.0
513,10.0
