,cluster
987,3
988,0
989,10
990,10
992,3
993,0
994,5
995,6
996,8
997,1
998,8
999,4
1000,6
1001,3
1002,6
1003,6
1004,8
1005,4
1006,5
1007,9
1008,11
1009,2
1010,9
1011,5
1012,4
1013,2
1014,9
1016,2
1017,4
1018,6
1019,4
1020,11
1022,7
1023,5
1024,6
1025,5
1026,2
1028,2
1029,2
1030,6
1031,0
1033,11
1034,4
1035,11
1036,8
1037,9
1038,3
1039,9
1040,2
1041,4
1042,5
1043,11
1044,11
1045,1
1046,1
1047,8
1049,3
1050,10
1051,3
1052,3
1053,8
1054,10
1055,3
1056,8
1057,4
1058,4
1059,6
1060,9
1061,3
1062,0
1063,4
1064,7
1065,9
1066,9
1068,3
1069,3
1071,9
1072,2
1073,3
1074,2
1075,7
1076,11
1077,0
1078,8
1079,11
1080,11
1081,1
1082,5
1084,6
1085,9
1086,11
1087,2
1088,4
1090,11
1092,11
1093,1
1094,5
1096,11
1098,11
1100,8
1101,11
1103,8
1104,2
1106,3
1109,8
1111,10
1112,11
1113,1
1114,6
1115,9
1116,5
1118,7
1120,5
1121,0
1122,8
1123,3
1124,11
1126,3
1128,10
1130,4
1131,3
1132,0
1134,8
1136,6
1137,10
1138,5
1139,3
1140,6
1143,5
1145,9
1146,3
1147,5
1148,3
1149,0
1150,3
1151,6
1152,11
1153,9
1154,4
1155,4
1156,5
1157,4
1158,4
1161,2
1162,7
1163,4
1164,9
1165,5
1166,1
1167,2
1168,6
1169,3
1170,3
1172,1
1173,8
1174,4
1176,0
1177,4
1178,4
1179,5
1180,11
1182,8
1183,2
1184,9
1185,5
1186,7
1187,11
1189,3
1190,2
1191,1
1192,5
1193,1
1194,0
1196,0
1197,2
1198,3
1199,6
1200,2
1201,11
1202,3
1203,2
1205,11
1206,5
1208,8
1209,3
1210,2
1211,3
1212,9
1214,3
1215,3
1216,11
1219,10
1220,11
1221,2
1222,6
1223,5
1224,4
1225,4
1226,7
1227,1
1228,5
1230,5
1231,7
1232,11
1233,4
1235,1
1236,5
1237,10
1238,8
1239,3
1240,11
1241,7
1245,1
1246,11
1248,11
1249,7
1250,4
1251,4
1253,3
1254,2
1255,5
1256,2
1258,8
1259,2
1260,5
1262,8
1263,8
1264,5
1265,5
1266,8
1267,4
1268,3
1269,2
1270,5
1271,0
1272,0
1273,1
1274,2
1275,6
1276,7
1278,10
1279,2
1280,7
1281,5
1282,3
1284,10
1285,2
1286,5
1287,5
1288,3
1289,4
1291,4
1292,4
1293,4
1296,9
1297,5
1298,4
1299,10
1300,7
1301,11
1304,11
1305,8
1306,8
1307,8
1308,5
1309,11
1310,11
1311,8
1312,3
1313,9
1315,4
1316,11
1317,9
1318,2
1319,2
1320,10
1321,0
1323,10
1324,2
1325,4
1326,7
1327,3
1328,11
1329,4
1330,3
1331,4
1332,2
1333,3
1337,9
1338,5
1339,2
1340,1
1341,4
1343,4
1345,2
1346,9
1347,3
1348,10
1349,4
1350,2
1352,9
1354,0
1355,7
1356,8
1357,1
1358,5
1359,5
1361,3
1362,9
1363,0
1364,10
1365,0
1366,6
1367,9
1368,10
1369,2
1372,5
1374,8
1375,2
1376,2
1377,6
1378,3
1379,7
1380,4
1382,8
1384,6
1385,1
1386,5
1389,1
1390,11
1392,8
1393,4
1394,3
1395,0
1396,3
1397,7
1398,5
1402,0
1403,1
1404,11
1405,5
1406,8
1407,10
1409,0
1410,3
1411,0
1413,5
1415,4
1417,5
1418,6
1419,3
1421,6
1422,9
1423,4
1424,6
1425,6
1426,4
1428,1
1429,0
1430,2
1431,4
1433,3
1434,8
1436,4
1437,3
1438,2
1439,4
1440,11
1442,1
1443,8
1444,6
1445,11
1446,9
1447,3
1448,10
1449,5
1453,8
1454,9
1455,10
1456,9
1457,11
1458,0
1459,2
1461,9
1462,6
1464,4
1467,9
1468,0
1469,5
1470,9
1471,1
1472,8
1473,4
1474,8
1475,3
1478,5
