,0,1,2,3,4,5,6,7,8,9,10,11,12
3,8.076440128659082e-05,4.179417573354486e-59,6.30855411005226e-17,1.3201073351513524e-05,1.4529459405094545e-07,1.936851432778934e-39,3.234703604773265e-15,1.2280584964012453e-30,0.9998982917497418,2.469673980916685e-32,6.26883605054913e-08,7.534792658557783e-06,3.693266667796363e-18
5,9.277304514698654e-23,8.598546865449776e-33,0.0025489493923028014,1.1767418312549026e-60,4.844206916375458e-45,9.195625098002047e-51,0.00043251268443240455,1.2597109370426047e-12,6.706236808520974e-11,9.048543053959603e-52,2.4287782045363877e-09,0.997018535426164,1.4346220942644195e-27
6,0.016410446473807083,4.057003936715367e-43,1.8976809605201977e-08,0.0007170759475166111,9.460896382536902e-13,5.527933302895511e-34,1.5520009820652286e-10,7.352431424419763e-20,0.28776077809026424,3.250728682743731e-32,0.6943965296601343,0.0007151432303765569,7.464948231094167e-09
8,0.9178505818727491,4.2279347432525e-23,9.004488699501618e-09,1.0752620405163236e-22,1.419871367600998e-29,1.0454202409982102e-18,0.016800944178790637,8.63842217410192e-09,4.061109148970575e-13,2.2547116359421778e-27,0.0002423119422817865,6.968643110127575e-08,0.06510607467642703
9,1.43040264736813e-05,8.24218853504197e-28,3.3862072697723417e-12,1.2151240032257604e-05,3.930622520898374e-39,0.02210421940292098,2.472438705696923e-07,1.933681966289312e-11,3.2565173165103444e-15,7.693659330933327e-15,0.9739391421477649,1.536135967856931e-12,0.003929935914663675
10,5.372935426191431e-15,7.456240373203419e-34,1.0074201375060958e-05,2.8286664761593497e-19,1.5864926034757847e-30,9.486306216968443e-17,1.9871982202203007e-06,9.326935674028105e-14,0.00013753118735138357,2.501645750665748e-19,0.9973637058480614,0.0024772541298127195,9.447435085416028e-06
11,0.0001276560789324108,8.239895702240235e-30,2.4920917747011175e-12,0.00015633133704489718,5.1406995482793415e-39,1.7946371550077005e-19,2.073811594897997e-08,3.009468597860561e-12,5.524684073510245e-13,4.2081148568771754e-29,0.9992029947330187,1.50352047266693e-11,0.000512997091799345
12,0.4947588011652541,8.622377308852434e-31,5.6188723459445405e-06,9.604013972509016e-08,9.416262966699225e-23,4.065960329024378e-32,1.3222746528568961e-05,9.496563939885632e-13,2.3500240773220165e-06,9.046179845790647e-35,0.5048166376682349,5.099240891381022e-05,0.00035228107355776765
13,2.0526897757273212e-20,1.6765930007098956e-46,4.337966828483059e-08,7.022866497475974e-24,1.5129451837548177e-13,5.6599518637731166e-21,5.9429531188009454e-08,1.954477006261292e-19,0.00010095686828920478,2.1691223563327714e-18,9.477394320619256e-08,0.999898845548417,3.4813047112401626e-30
14,3.420053082089722e-05,1.0257980797046524e-30,1.8964380708022018e-06,3.30738059975843e-18,1.9475644725665725e-20,0.9570341525488226,4.291827387078932e-05,6.382333734190247e-10,5.700677046846445e-10,1.9918802308447217e-08,0.042873866739202515,1.2944342102600022e-05,1.79450644818701e-18
15,1.7278725945514103e-06,4.926692168470258e-63,1.5023307966367333e-17,0.00015426494111027758,0.003688481720091053,1.0776504749971586e-07,7.452162513372336e-18,1.1683636681075851e-33,1.8117752244703915e-16,0.9961549097782283,1.7248368506239892e-11,5.079056830553239e-07,3.832814838018879e-20
16,0.8995900943879128,5.67571479149576e-34,6.047240205743498e-08,2.1440735862683104e-19,1.5898484306678488e-20,1.0979585113678185e-31,0.0049690541114335695,4.149392308293268e-12,1.0305529000471522e-05,3.3244472360451616e-35,0.09292040907391916,0.0025066179434080917,3.458477771741447e-06
18,3.5468500556598284e-24,4.1785267118383e-12,7.960548612505358e-06,2.3963702772694518e-32,4.610587840496516e-71,4.4732877812005624e-20,0.38049754052386575,0.6022162224487538,1.192515960215963e-24,1.8996569642124515e-36,0.0003787193174857861,4.58341284804241e-11,0.016899557111274485
19,5.706102492943059e-11,1.745855269021237e-15,0.9435037480552382,5.248138762469979e-19,2.8692804145800446e-44,2.4077314373138603e-34,0.0004606693600241767,0.0032578013170227495,4.747533941356158e-19,1.584630371927256e-45,0.052777757978111704,2.3232543183908647e-08,1.8010454398760206e-15
20,2.2014922929913712e-41,4.34922912485849e-18,0.2425967277120958,1.3899056002724857e-65,2.0565747494135096e-59,3.1858290251981326e-35,0.7555477630957653,0.0018509720089944024,1.16132166296262e-23,1.7282428523614513e-46,3.1566237849945125e-08,4.50561690859092e-06,7.715558895437684e-37
22,7.845093335411969e-21,2.9432754322908727e-49,1.772430354578881e-10,2.8829085009870526e-17,5.747002654239033e-23,0.00016977608591790195,7.312629949173321e-07,1.811569360166001e-21,0.0008130886364792715,0.0011767678045408066,3.0839535402873926e-05,0.9978087964974262,2.02280902296805e-29
23,0.9986067122043113,7.404151163019181e-37,2.4419761132474293e-10,0.00010943268410169458,3.3312460975696115e-14,8.07321530171754e-19,9.282020627415451e-07,7.544105434824291e-18,0.0010794175327731577,1.412452487649204e-20,0.0001878350493105695,1.3605452761028206e-05,2.068630453269275e-06
24,3.8570239218972054e-19,9.181826807978233e-37,0.002202636069797188,3.956301353570807e-24,8.477654054245829e-47,6.111462280551935e-18,0.00041472158155913494,6.513636336441662e-14,2.945188218413571e-07,1.805131064197256e-18,5.824198421092625e-05,0.9973241057605607,8.499149059005779e-11
25,0.08931696642089132,2.6553323048302397e-25,9.007613837651981e-10,5.6471337283815123e-05,2.3089054386030727e-26,5.232244225849101e-33,2.3989891784032504e-05,1.1292853931068195e-09,5.5019806901882654e-12,2.568018881803811e-41,0.6587679896948361,1.3670588813839592e-09,0.2518345792526009
26,0.9609438060486425,4.330504335852017e-39,6.05427948139187e-12,0.0032930787607253556,7.60509679937941e-15,1.9242751400686253e-33,2.3064111493451977e-07,4.638559344733718e-18,0.0016872184497888436,7.832202692984533e-35,0.034074318451160684,1.1782261746488678e-06,1.694163285856856e-07
27,0.9350329904246449,3.111677096417248e-37,1.5231473708788745e-07,5.119149980362894e-22,1.581379152780708e-19,1.0462864096621592e-33,1.3724983009639025e-06,9.030657788509592e-17,0.0004304269246394531,7.59827516350647e-33,0.0001592442069051196,0.06437576946298515,4.416778496903281e-08
28,0.6128761375559876,2.302398635015538e-42,3.6246638691189656e-08,1.2252235946454606e-18,7.815380814969838e-12,0.002107245164992579,3.112969167644605e-08,2.2027304772361787e-19,0.045844282180615224,0.318350123683327,0.004737625083755852,0.01608451517698157,3.770193457622023e-09
29,2.3526361978797014e-11,3.833434080860908e-13,3.925985196155684e-05,9.143845229619747e-22,2.3919119347197822e-51,1.2954877749758596e-35,0.9137638566959816,0.08600883035013536,1.1673577704190383e-25,3.0270986194022753e-50,7.121600450353693e-07,2.2404432068996296e-11,0.00018734089556670842
30,6.736216157990077e-19,2.427586815351315e-34,2.40233084076428e-05,5.676659314851744e-22,1.0475713167690763e-32,2.108368438616176e-18,0.0015711869217181838,8.649735095418979e-14,4.225747383175826e-06,1.291194728623985e-21,0.002170389569342099,0.9962301744458028,7.266028012401718e-12
31,3.712811480959751e-12,2.5890158050263844e-11,0.8749868987184426,1.5915550684095071e-38,3.4242666260910904e-63,2.0293303525400672e-19,0.01640800306499845,0.10432608177082835,2.880721528959067e-23,3.0543029761414046e-35,2.481425698301313e-06,2.9634265138320527e-10,0.004276534694092324
32,1.2128563986253337e-44,5.577772250619669e-29,0.9966207553339066,2.176814246430609e-91,9.567013006917283e-66,3.321312219912123e-07,9.279427977398273e-05,1.522477806788867e-10,1.5594968257325978e-34,1.6079273116055055e-13,1.0474288660049442e-13,0.00328611810258645,1.4000133310398679e-58
33,0.9951692422027457,3.747191772955061e-26,5.023493539492574e-10,5.383996994229438e-11,2.1981007561456754e-32,1.1973674208381045e-49,9.152555236937877e-05,1.78184744593032e-11,8.969678975015218e-12,3.1374041015365904e-56,2.0290369891217384e-05,6.660492196380991e-09,0.004718934631529162
36,5.1202906952931065e-24,1.2280525249138782e-34,0.0961989403528789,2.7970385415646035e-46,1.041059056462713e-39,9.625788619995364e-05,2.1887481870286615e-05,2.0968655592244818e-13,8.981873721886825e-26,6.216494219940281e-07,3.3610914251640397e-10,0.9036822922933161,3.7630698976049122e-28
37,4.6162664810327e-05,3.1930796712868516e-23,2.2254478864058684e-05,4.7089749716610644e-17,3.568346818055165e-39,1.2314024894445968e-35,0.9998747045656372,4.3458617412444435e-07,1.650689908282272e-14,8.144493909610413e-45,5.5649033943793585e-05,7.946705470886187e-07,8.410623355271789e-18
38,7.711509834363868e-44,3.423242139069664e-12,0.06984082998890694,1.3625566230543204e-52,2.9127333862590636e-65,3.3843243846890775e-36,0.9033749762587678,0.026784070474262643,5.187537330354217e-26,1.0035955389717955e-51,1.0742423581551638e-07,1.5850398148751377e-08,1.0350203587235832e-49
39,0.005053995501797952,1.2461723185880988e-23,1.0388396851359119e-08,9.016780780843696e-11,8.552246498964296e-31,0.7726808530006207,0.00013073572456048845,3.7343071606179525e-10,2.1534634733600578e-29,2.1647096370072788e-10,4.8176682575649994e-05,1.0754715821262488e-09,0.22208622694650307
41,4.4804693046313133e-07,2.123307788744719e-65,9.015138687622698e-21,0.5059249384917682,0.1871870306951966,5.998957779215312e-07,1.1903758277808588e-17,7.177188393229806e-34,5.234044518165614e-17,0.3068869571318179,1.3855830841534154e-10,2.5599953539286676e-08,2.98661934343278e-20
43,2.7321479491123814e-21,1.8230253912446047e-27,0.00031522326154590684,1.6432763719759584e-26,5.538401955992627e-36,0.9820339971023617,0.009263784196009959,1.2619730631128479e-09,7.028772443910588e-27,3.5466063269152685e-07,2.2326487511785e-08,0.008386617190991152,8.532931478604039e-24
45,7.281725245543789e-07,1.8526992051176775e-36,5.0315699953138044e-14,0.011156144527132185,2.7922983095924848e-30,0.9885578362147,2.7302514593510838e-12,1.806436584543124e-17,5.884446628330799e-27,2.316805071962063e-09,0.0002842087580377795,4.3839322347600566e-13,1.0800075843745487e-06
46,8.128382014390463e-25,1.436562455553524e-12,2.530302633352351e-10,6.204839838860431e-28,9.659612744889168e-62,1.9219895042768955e-19,0.03631844612042127,0.7705121093652524,3.0108286183331317e-27,3.3581892536030456e-40,0.0162474838898601,5.092896325267615e-16,0.1769219603699977
47,4.988566733592287e-07,1.6607654863219037e-33,2.1561104649402933e-13,2.7590764277095443e-05,8.560300755027697e-27,1.424165121599694e-20,6.370793703275019e-12,4.7040803538321715e-15,8.018158841699518e-14,2.0651968085649345e-28,0.9999032590163689,4.25906389458675e-14,6.865135597273195e-05
