,cluster
987,0
988,10
989,1
990,1
992,0
993,10
994,7
995,8
996,5
997,12
998,5
999,8
1000,11
1001,0
1002,11
1003,9
1004,0
1005,8
1006,7
1007,10
1008,8
1009,6
1010,10
1011,5
1012,3
1013,11
1014,10
1016,2
1017,3
1018,11
1019,3
1020,8
1022,4
1023,7
1024,9
1025,5
1026,2
1028,6
1029,2
1030,11
1031,12
1033,9
1034,9
1035,9
1036,5
1037,10
1038,0
1039,10
1040,2
1041,3
1042,7
1043,8
1044,9
1045,12
1046,12
1047,5
1049,0
1050,7
1051,3
1052,3
1053,5
1054,7
1055,8
1056,5
1057,3
1058,3
1059,8
1060,10
1061,0
1062,0
1063,3
1064,4
1065,10
1066,10
1068,0
1069,0
1071,10
1072,6
1073,0
1074,11
1075,4
1076,9
1077,12
1078,5
1079,0
1080,9
1081,12
1082,7
1084,11
1085,10
1086,8
1087,6
1088,9
1090,8
1092,8
1093,7
1094,6
1096,9
1098,3
1100,5
1101,9
1103,11
1104,11
1106,0
1109,5
1111,1
1112,8
1113,1
1114,11
1115,10
1116,7
1118,4
1120,2
1121,12
1122,5
1123,0
1124,9
1126,10
1128,1
1130,3
1131,5
1132,12
1134,5
1136,11
1137,1
1138,6
1139,0
1140,11
1143,2
1145,10
1146,0
1147,7
1148,3
1149,0
1150,8
1151,11
1152,9
1153,3
1154,3
1155,3
1156,2
1157,3
1158,3
1161,2
1162,4
1163,3
1164,10
1165,2
1166,5
1167,2
1168,9
1169,10
1170,11
1172,10
1173,5
1174,3
1176,0
1177,3
1178,3
1179,7
1180,8
1182,5
1183,6
1184,10
1185,7
1186,4
1187,8
1189,0
1190,2
1191,12
1192,6
1193,12
1194,10
1196,12
1197,11
1198,0
1199,11
1200,6
1201,9
1202,0
1203,11
1205,8
1206,7
1208,5
1209,0
1210,11
1211,3
1212,10
1214,3
1215,0
1216,0
1219,7
1220,8
1221,11
1222,9
1223,7
1224,3
1225,3
1226,4
1227,12
1228,6
1230,7
1231,4
1232,8
1233,3
1235,12
1236,7
1237,7
1238,5
1239,3
1240,0
1241,4
1245,12
1246,9
1248,9
1249,8
1250,3
1251,8
1253,11
1254,6
1255,7
1256,11
1258,6
1259,2
1260,7
1262,5
1263,5
1264,7
1265,7
