,0,1,2,3,4,5,6,7,8,9,10,11
3,2.58952770599016e-11,2.4581526462642718e-23,9.080010541258001e-10,0.0005578844717534462,0.0004315923123337106,5.236233014264248e-22,0.00020906722230708974,4.702268062734438e-06,6.628889479562771e-38,7.625391898680546e-08,2.124167085545954e-47,0.9987966765377279
5,3.645836720443126e-35,4.796449376743724e-16,0.9990188913539712,4.639880950606147e-09,2.8358202768541645e-46,5.161440546101951e-07,0.0009805874632720648,1.880311533237162e-43,6.375583440460437e-51,3.9882380351229847e-10,5.079522443700827e-24,6.464799719678998e-38
6,0.0001299117074491149,2.504787274637039e-13,4.429252589777679e-06,0.014375366345427487,0.0026696479994705903,5.131088983240427e-13,0.0035324616057782676,1.006070613078179e-11,2.7913701547903192e-33,0.35512539079084515,4.9868530664868925e-34,0.6241627922876101
8,0.25106930380056514,0.0006025417022103497,8.132251102198739e-05,0.7481297264021591,1.0603549090987367e-11,2.668609394001484e-06,6.816130724070969e-13,1.666200439224808e-29,4.376761429986897e-19,0.00011443689557496717,2.5978651004579966e-17,6.778791211496111e-11
9,2.4892553488392507e-05,0.0002378239762308379,1.499503127641198e-10,6.238030821049597e-06,3.7137083705122126e-08,4.84000149365643e-10,9.864377056812285e-16,1.6835350410656114e-40,0.003778156100094931,0.9959528515683134,8.330218632393886e-23,9.713241629141581e-15
10,0.040704792821419644,5.87913964877349e-09,0.002704077018670237,0.027165875153706238,4.654747449475367e-06,2.9137662255797985e-08,0.00015641262617289826,8.095803807732733e-30,2.426613799877699e-16,0.9292641526157858,7.609419635547209e-26,1.61309083502167e-16
11,0.000178036327824939,5.118379630040677e-06,7.940567310582792e-10,0.0001614147095931008,1.7919623222317212e-06,5.876373158909638e-11,7.0710890896904396e-15,1.5115651292429383e-39,3.472322531110994e-20,0.9996536377673991,9.038198476619554e-24,4.044368675382207e-13
12,0.9174992849097899,4.2600763005518134e-08,0.0002425089878155106,0.026968777283328072,2.509483664393604e-08,1.758808613888263e-08,2.2371301741087082e-07,7.781200100706571e-22,3.379926960331388e-32,0.055180449605794366,6.079398389566645e-24,0.00010867021657146695
13,9.077540693137689e-38,1.937655865840289e-18,0.0062426104058821074,8.906907614206174e-06,1.216567818885586e-09,1.8795866515974293e-12,0.9937483709186876,5.562154292420491e-12,3.3288947568864925e-20,1.1054380641126234e-07,9.490070770488079e-35,1.0862860054236387e-18
14,1.5797609984026742e-18,7.824662284530855e-06,0.00023085709501067335,0.0002405619436288489,1.2545449331962398e-06,5.11058487724007e-07,2.8630915912497055e-07,4.493797366805662e-20,0.8987220426881435,0.10079666169835537,9.02878201284943e-23,1.8521015367653295e-20
15,3.76705041716836e-14,4.728681019942449e-25,1.194589206586701e-11,1.7643356181703062e-05,0.005302088221495262,6.720613524346099e-24,0.0005439752004443311,0.035419836431226086,6.237645929028167e-06,7.039800939139266e-11,2.0835120942837956e-51,0.9587102190623447
16,2.9351365872746268e-05,7.569289811029067e-09,0.0006554737645441188,0.9862794183161521,7.112602062403247e-07,8.503815552837618e-09,1.946126017253841e-06,9.92310983991713e-21,5.904893929787198e-32,0.013031974853684703,3.9157946454450984e-26,1.1082404233566098e-06
18,2.3998641053455083e-19,0.6667682951795155,6.270538226472857e-05,1.0758255739160006e-10,3.8712275288000735e-22,0.3328474258671181,3.1111070076512343e-18,3.118070738108603e-71,4.1498037782945725e-21,0.00032136956610493767,2.0389740935099067e-07,3.942831329530324e-37
19,7.756384562400525e-28,0.03457474248347814,0.019279961577512102,8.994537508795464e-10,4.35513586709378e-19,0.7670439420130354,6.365272506106154e-13,5.2663120693217776e-42,2.905299082496948e-34,0.17910134876474962,4.261138179966428e-09,6.2403835755411815e-18
20,2.5285629751301263e-61,4.351940845476022e-08,0.24256797402560917,2.9592225303768594e-14,1.3490596519137442e-53,0.7574319759073928,2.7153139060976447e-11,2.408864031781009e-58,3.102189622375086e-36,6.3507566084782095e-09,1.6964662912698904e-10,2.823083322772358e-62
22,6.35205843563688e-40,5.421008563327255e-19,9.472482464432418e-05,9.273765117380467e-05,9.186393725270192e-05,5.8908548606699076e-15,0.9996214123604542,4.0261637833116286e-23,8.362693385065619e-05,1.563429261380039e-05,2.3660753073050423e-39,9.949168342723961e-21
23,7.281917904265098e-05,2.1012448519103045e-10,1.0836398143358534e-05,0.999142069952659,6.737703634246002e-05,5.996660821670264e-13,3.8028472758640743e-07,5.033213711940967e-14,1.2727047647743788e-18,0.00034218661591883467,2.727071318291853e-29,0.00036433032239082747
24,5.246384026679656e-19,3.0892131129303293e-13,0.9295961718580433,4.513119336096621e-06,1.9048128712651954e-11,9.253286915542879e-08,0.07038495577957461,2.4984610156994884e-33,1.0311129145263034e-17,1.4266690815876032e-05,6.4407335016723976e-27,6.752540203423456e-20
25,0.03343879358565514,0.013212809433936018,3.709050618231512e-07,0.27611722877863115,7.556963305227102e-07,8.074103484733921e-08,8.829408492068122e-14,7.088056012606174e-26,7.06419912051798e-33,0.6772299608297305,6.905548354848978e-20,2.9532381040911356e-11
26,7.358893752622127e-06,7.156189161266764e-12,9.70630167732662e-08,0.9938339831504884,0.00016758202434096143,1.0098213434844738e-13,2.589773472897816e-08,4.0002093315338246e-15,1.07344588769679e-33,0.005940202630466256,2.6318861880158945e-32,5.075033293944965e-05
27,0.0054226150786231995,3.15411400884785e-12,0.005376150984737607,0.9201060864734272,2.5997246283807316e-08,4.352476842502295e-10,0.044857750884519126,8.202308395980278e-18,6.915140778354775e-33,0.00036541937263505375,1.8581358971950508e-28,0.02387195077040854
28,9.44713048734927e-05,1.0214307395361577e-15,5.8999048479075665e-06,0.006409260274200913,9.875900953925399e-07,2.2344713413896682e-13,0.0004356377552441072,1.082921373501864e-12,0.00036765584020960365,5.717279737782672e-05,7.261757726917233e-35,0.9926289145318423
29,8.031803749981465e-32,0.3316560088439074,0.00021506489220531373,2.998400625723041e-10,5.518022036996095e-23,0.6681272756023161,1.324346287113891e-17,3.8496694374925694e-50,4.4134782113195814e-36,1.4641510895997957e-06,1.8621063722241974e-07,6.383351615455034e-25
30,4.482196815408617e-22,1.5582597723503868e-11,0.9718342890321362,0.0008485161956454704,8.076230090013206e-09,1.4071418336540252e-07,0.01048017425290908,3.260368258032664e-31,7.388209260119858e-18,0.016836871713310806,2.4740527093232703e-25,2.7452945872278323e-21
31,8.100708403775177e-18,0.0005645301567176598,5.5290561346879774e-05,1.8624366146398657e-13,2.4388173283859424e-27,0.9993799511184783,1.1042710401925586e-16,7.531498973452423e-51,8.484025300750603e-22,1.4930996005316484e-07,7.885331686534411e-08,1.709378581590539e-23
32,1.957136558908692e-79,7.778868812059324e-17,0.9986308124139531,3.5685221915571315e-16,2.0039497704242011e-53,0.0013491280452431259,1.982352703863544e-05,3.487435700614293e-51,2.3601348648754057e-07,2.7307979351032984e-13,5.644701338879442e-20,7.068737354799173e-70
33,0.5187386645291913,3.238128738627109e-05,1.0844074429737262e-05,0.4811971005424782,1.6201247181277638e-11,1.2252597149590104e-08,8.528906762262625e-14,5.121809072059514e-31,1.2643453281093373e-49,2.0997109199720564e-05,8.49076236771138e-20,1.8842731493742234e-10
36,5.195242694699676e-36,2.1409701287761474e-16,0.9953696974290612,4.5102360804108407e-10,1.7452491965504018e-44,9.827464377363555e-07,0.004596342418499441,2.176892929779419e-38,3.297677706484337e-05,1.7791936153351048e-10,1.8705116859472632e-25,8.501108093076229e-37
37,2.728385854494039e-14,0.0002155030453093775,0.8882404016609448,0.015237833463607338,1.2623431308834954e-28,0.09504414178763483,1.385512485875357e-10,4.05503597007861e-36,2.2106959796664334e-34,0.001262119903903353,2.0939909965383677e-14,3.292057077495663e-25
38,5.164333764077821e-77,3.0578783937502068e-06,0.009230285820886705,6.045808059802015e-15,1.0941531978903068e-41,0.9907665513596813,1.1594507431770742e-15,3.2686490739479714e-64,7.104804017375808e-38,4.3584661784149774e-08,6.135637097793048e-08,7.749340779541218e-68
39,0.1062663597742968,0.008299139399469548,3.250152856443352e-06,0.0002486485061685078,5.492587436213019e-11,1.0835405306655101e-07,8.749271257733842e-13,6.869343217993967e-31,0.8850425522707548,0.00013994147495596787,7.146192337425847e-19,1.1644926256582246e-11
41,2.0189971492467037e-15,1.26990460852622e-25,7.357999434838462e-14,2.478500797273439e-06,0.9189165808797155,6.712508046770925e-26,1.089361706745275e-05,0.059555555283531444,4.139184230526344e-06,1.4029290116071533e-10,7.656090277242214e-54,0.02151035239429121
43,2.1208711825771194e-35,4.013687199588657e-09,0.09411714418668057,4.104311749939377e-06,3.2949385365043513e-26,2.5096729737964613e-05,7.426259354818166e-05,3.600881492681443e-35,0.905779313472684,7.469190916182757e-08,4.808696031305188e-20,2.4773871364880833e-38
45,3.248008703935963e-08,3.95925651482508e-08,2.5559611103665515e-12,3.4648631032634457e-07,0.00032180071781467143,5.931777566941462e-15,3.347018016913258e-14,1.2154097544821641e-31,0.9987220556878735,0.0009557250224830629,1.9326575105882927e-30,1.0264753793317337e-11
