,0,1,2,3,4,5,6,7,8,9,10
3,3.534087474709154e-05,1.262256285103053e-45,4.949283113214361e-05,0.9999141846489251,1.2469505653463098e-07,8.84626007795812e-41,2.6372021373852746e-07,1.0092240372192623e-20,2.824222623278753e-32,1.2205202810695615e-18,5.932299251247451e-07
5,1.1435936130218814e-23,2.3399729753596523e-23,4.154295511181185e-60,1.263662011245159e-09,1.3189720277040328e-10,2.860431392851248e-47,0.9999984119330596,1.5866710459744058e-06,1.8925597112150903e-50,3.335817320022137e-13,2.0904758942184625e-44
6,0.014070945782681508,4.1773780109541654e-32,0.0018299523310363077,0.31746434780016475,0.6661134644846748,6.952722063297193e-36,0.0005212863989761269,4.906551908750168e-12,1.132977159601223e-31,3.1938153262416277e-09,3.7439048906555654e-12
8,0.9811623559442195,7.214027078974507e-16,4.27363740403844e-23,4.345136655617592e-13,0.00012403491070040438,1.1902628172982525e-19,3.903880372492078e-06,6.022371469768144e-06,7.916437313424254e-27,0.018703682892797446,4.9348529098732336e-29
9,8.713036864501018e-06,1.0916626685956656e-20,6.427865191438568e-07,2.5588479207125745e-16,0.9988513857774249,1.396476937597652e-07,2.0289425111311824e-11,9.94454850884545e-10,2.2202395294036397e-15,0.0011391177367484789,6.681061304290486e-40
10,3.8698933356437875e-15,9.093081598577032e-25,6.294675603872108e-19,0.00022492228114707764,0.996848317140664,4.1057456893278404e-18,0.0029228865432613976,4.6505942046211935e-08,1.3965419077703935e-18,3.827528981173046e-06,3.5874643736272254e-30
11,0.0004454765312753648,3.0942439827013787e-21,5.467426431240169e-05,2.2513420356038907e-13,0.9982983725789342,8.259325851400644e-23,6.451494495499512e-10,6.545748059057676e-10,1.8945974945295013e-28,0.001201475325535444,7.014593589134435e-39
12,0.5686160211760517,4.705357888605126e-22,1.3944172499852954e-07,1.9713258492387504e-06,0.43011796854792206,5.0188210858300675e-34,0.001177059360410415,1.5055504365978095e-07,1.3000119386452933e-34,8.668959299510202e-05,9.062315864230498e-22
13,1.665848397863325e-19,3.0275157495895987e-32,8.82523710546634e-22,0.031768486892913804,1.7628168499984965e-06,3.1299192400840735e-18,0.9682297500351833,2.44851595019505e-10,6.734736883024895e-16,2.870148489343869e-14,1.017314013784383e-11
14,0.0002749597206613683,6.004489682648498e-20,1.351829082459846e-05,3.1397368993337585e-09,0.9643058211901828,0.03398188544025657,0.0007185866145779017,7.441739474250959e-06,7.743043056599726e-07,0.0006970095599823056,1.8826118075761648e-19
15,4.5091921872282e-06,3.4018988518270848e-49,0.001267144904800066,2.266341899437255e-16,9.129662206105066e-09,1.2683450767626794e-09,1.8233414913950442e-23,5.349382580277774e-23,0.9608709014180963,5.0173175441636086e-20,0.03785743408690963
16,0.9190691084326609,1.3970645546666638e-23,9.187498271957553e-19,1.2465017200138925e-05,0.060932003266529464,8.608282163718782e-33,0.0199781954245048,5.033668207661472e-07,9.744117685222258e-35,7.72449227983788e-06,7.376243980646443e-20
18,1.109798393584701e-23,2.165880136593631e-06,2.6517979084786607e-32,6.751037308014596e-24,8.960725681868777e-05,2.5463785705486035e-20,3.888328250301753e-07,0.7759545706584626,7.506574754994437e-35,0.2239532673717636,7.86853891511566e-71
19,3.1852439821627e-10,2.688970053662064e-08,2.3186985152139535e-18,1.1560949311749527e-17,0.049627320838397715,7.633174289130842e-33,0.00046224195665199466,0.7806550860026306,2.7259754940260205e-43,0.16925532399409624,9.088763032108439e-43
20,1.3817333460276043e-41,5.796585564342081e-10,4.457155348040475e-65,3.769393024870844e-21,2.9437913088477714e-09,1.1270456156249917e-31,0.0026911516767424357,0.9973087587357693,4.515122443271126e-44,8.606404306076487e-08,9.350158551554838e-59
22,6.13118857084982e-20,8.34054570851386e-35,9.436154447838103e-16,0.13200844301863876,0.0012203984705676859,0.008197215376501005,0.4452139440995074,1.1737622540202586e-11,0.4133599990230118,3.813515602529314e-14,8.869543752564833e-22
23,0.9985355016108961,2.6019112137443125e-27,0.00019575952357976268,0.0009600970227760261,0.00024679229797581987,7.796204278760623e-20,6.067284622163946e-05,9.604661970060925e-12,2.0364071329541362e-20,1.1766888211288148e-06,1.299384223899183e-13
24,1.3492995396288335e-19,8.941260377937261e-26,7.264055444808096e-24,3.10185362533409e-06,2.911808032990096e-05,7.307476556881706e-17,0.999967456949631,3.226895505679689e-07,1.7177559695975427e-17,4.2686549538896895e-10,3.2914642509170046e-46
25,0.33746617881117746,1.009115468328107e-17,2.9527445892392386e-05,3.915926267007841e-12,0.2112284614701658,4.940405869377076e-36,5.068900686369642e-07,5.502166185797435e-07,6.944752961286537e-41,0.451274775162164,9.763962683365196e-26
26,0.9610556125978633,1.390600992282952e-29,0.004378705005589664,0.0008752467441038853,0.03368187463925096,3.640252368604333e-36,8.47287316252066e-06,9.996029518559524e-12,7.739914449171311e-35,8.8130012275206e-08,2.345142623918634e-14
27,0.9561728500258492,4.197661215242864e-27,2.4683869214405336e-21,0.002830715257739258,0.0002620231659457356,8.63365532142477e-33,0.04073439404168459,2.226270252197059e-09,1.0047293124091718e-31,1.5282509441309073e-08,1.9577891570876636e-18
28,0.3967037083295304,8.093075382944956e-32,3.477703474480261e-18,0.08339457619153465,0.018849927061338163,0.00023808818027517696,0.001172894646699176,2.7691447641702794e-11,0.4996408047293569,7.659081934228935e-10,6.76662380177415e-11
29,7.051703158889774e-11,1.658150748466469e-06,1.6286815469748038e-21,1.410644545358491e-24,3.312629146180979e-07,1.1358451911336438e-33,7.186256527203398e-07,0.9527613352006153,1.4070859061327422e-48,0.0472359566895511,1.477674566321684e-50
30,2.24176997794491e-19,9.787286504402197e-25,7.093212087194039e-22,1.0890880035391133e-05,0.001953951849432465,8.076275694905469e-18,0.9980347735142667,3.833382035131021e-07,1.2636322871729691e-20,4.180638056324533e-10,3.3263725092700595e-32
31,2.9139431781273023e-12,1.1797528227369187e-06,1.9182925594694316e-38,5.146133285709762e-23,5.599362356173593e-07,5.601525665326385e-19,6.93838514776916e-07,0.9879992555960844,5.435683468719892e-34,0.011998310873430094,2.4520898204724683e-62
32,2.27515256861421e-44,3.0547148391069076e-19,2.612452466051271e-78,1.0105176264015296e-30,3.397867643270481e-12,0.9991462301255459,2.3281611362791294e-16,0.0008537694402828452,4.307723887587832e-10,5.639662758513019e-15,4.163163650351405e-64
33,0.9980433356679949,1.1445710236164582e-18,5.7392176696436804e-11,1.8100778328287432e-11,6.3192802600834715e-06,4.127433497895263e-50,8.04436759110905e-07,6.424479005811768e-08,1.233497249456694e-55,0.001949476294708694,8.516291476268281e-32
36,6.064556040697673e-24,3.833723168155518e-24,5.130515584181413e-45,6.907373261078806e-24,2.1888535194305883e-08,0.9999229817152574,2.9486642788937256e-15,3.601513843821072e-06,7.33948813399518e-05,1.0245154084696626e-12,1.7943159093092736e-38
37,0.009145971761035885,5.143205274520588e-13,7.948064892078514e-15,9.310588331257835e-12,0.0012925002253765712,4.9269317584913303e-32,0.09159885301683394,0.8640293353731395,1.2636211978694965e-41,0.03393333961377971,3.9866259664831363e-36
38,1.044189837747396e-44,1.1106905749609334e-07,2.860790853964666e-53,5.968533743920207e-24,2.507179795946023e-09,4.813949544069886e-34,3.2812262315752775e-05,0.9999669891771782,2.718711970078719e-49,8.498427412605571e-08,5.121505608092131e-65
39,0.04751632715906869,8.610910106558891e-17,4.1560770323275254e-10,5.294760704585992e-29,0.005816293201602434,0.011862739386281015,2.5739768587428658e-21,3.3870573451236115e-07,4.6348248800247743e-10,0.9348043006682218,7.458128377343253e-30
41,4.108816328007036e-07,1.2644537518571138e-50,0.6681533099182833,1.807367662141465e-17,5.7778213443982935e-08,2.729617572397605e-10,2.2196966842685395e-25,2.010028947662736e-24,0.09134032300384343,1.3223281514301071e-20,0.24050589814506862
43,1.49557747850282e-22,2.4778049769485626e-20,3.129749202202419e-27,9.419727439719401e-27,2.429527664941647e-08,0.9999974929224628,3.2203782203585384e-18,2.002754041439317e-06,4.780696413595746e-07,1.9585776577311404e-09,6.998492084023435e-37
45,1.9532609074557244e-05,8.543493466322559e-27,0.038464596492194435,5.5298199409042635e-27,0.9614690740908093,3.385091106630257e-05,9.090578794895383e-26,3.097875224664839e-13,1.1429764451099353e-08,1.2934466787478904e-05,9.906649826874681e-30
46,9.197537754576997e-26,2.1995201879223888e-07,1.100029608887358e-29,5.165513031811206e-28,0.0003383373907909036,1.3571726457117393e-22,1.0698160609016428e-12,0.0005446606454711679,5.953057619672552e-40,0.9991167820106448,2.87846237394033e-63
47,1.2539655967809484e-06,1.2900300344507888e-24,1.3613439434882276e-05,1.450974357218638e-14,0.9999114466620307,5.7327880343822955e-25,5.046254869058857e-12,2.0466320512268192e-12,7.875781490915553e-28,7.368592582478115e-05,1.438388264213342e-26
48,0.9968403428883282,4.463525005298678e-26,1.7499192127907506e-07,0.0007618097596955464,0.0007022289296623337,7.945799120767508e-19,0.0016948875769997413,1.9860391991728418e-09,6.345190038546811e-17,5.538673507131196e-07,8.177767492188689e-15
49,3.431160261479966e-41,1.381376943564278e-23,4.920162257940436e-49,1.13746475157487e-10,3.022442561623683e-12,6.868318125035329e-18,0.9999949033016117,5.096581621371299e-06,2.3542075347870284e-22,1.4070217830496655e-15,1.212139231628622e-44
50,0.05227289129959293,4.5451150550808553e-35,0.9473689059571965,2.7823045700396885e-05,0.00033034293975837275,8.672482269900695e-53,3.654191827377734e-08,2.5180806999160647e-16,6.70624403219096e-50,2.158080306948366e-10,2.446378866527334e-14
51,9.018983322533485e-30,0.02746834104727357,5.883145692235241e-41,5.733539981023543e-35,5.4261049349464e-09,4.423730084966124e-56,2.631928017427208e-16,0.00011894079274669077,1.4528609833020394e-76,0.9724127127338718,1.110588322106834e-65
52,1.1575494944044992e-13,1.1380149591704706e-06,2.815037392192418e-25,5.4444526042797245e-31,1.5415494568880765e-07,1.644287150478228e-56,1.551606845964309e-16,1.3753095846711476e-06,5.263767580031923e-73,0.9999973325203989,1.5749259967435467e-72
53,4.388546592568772e-07,1.8663649058553362e-11,8.886316666431972e-17,2.6331863935952133e-21,0.00038772834535481397,1.1229232202133696e-36,6.122407584691602e-10,4.159971319336246e-06,8.096535254751427e-49,0.9996076721977586,2.389300771382927e-43
55,3.305472537113769e-50,0.7873926106396008,3.614145538214446e-79,1.469167888788309e-35,2.2498749510030854e-16,2.5127529731363324e-53,7.020203272700234e-12,0.2126072631051931,1.6829779012255478e-74,1.2624818495184537e-07,1.1581220859351893e-84
